amount,weight,avg_price,yyyy,mm,dd,origin_제주도,standard_10미,standard_20미,standard_25미,standard_5미
53345,73,3.5,87200,2017,1,2,1,1,0,0,0
53346,29,4.0,99500,2017,1,2,1,1,0,0,0
53347,41,4.5,123700,2017,1,2,1,1,0,0,0
53348,88,5.0,143600,2017,1,2,1,1,0,0,0
53349,7,5.0,68600,2017,1,2,1,0,1,0,0
53350,7,6.5,150000,2017,1,2,1,0,1,0,0
53352,35,5.0,31800,2017,1,2,1,0,0,1,0
53353,1,6.0,60000,2017,1,2,1,0,0,1,0
53360,3,5.0,260000,2017,1,2,1,0,0,0,1
53369,72,3.5,83100,2017,1,3,1,1,0,0,0
53370,1,4.0,115000,2017,1,3,1,1,0,0,0
53371,59,4.5,122800,2017,1,3,1,1,0,0,0
53372,43,5.0,150900,2017,1,3,1,1,0,0,0
53375,22,5.0,60000,2017,1,3,1,0,1,0,0
53376,5,6.0,110000,2017,1,3,1,0,1,0,0
53377,4,6.5,155000,2017,1,3,1,0,1,0,0
53378,1,5.0,40000,2017,1,3,1,0,0,1,0
53389,68,3.5,83500,2017,1,4,1,1,0,0,0
53390,8,4.0,110000,2017,1,4,1,1,0,0,0
53391,57,4.5,116500,2017,1,4,1,1,0,0,0
53392,50,5.0,148500,2017,1,4,1,1,0,0,0
53394,12,5.0,63800,2017,1,4,1,0,1,0,0
53401,16,5.0,207800,2017,1,4,1,0,0,0,1
53407,67,3.5,85700,2017,1,5,1,1,0,0,0
53408,10,4.0,106500,2017,1,5,1,1,0,0,0
53409,54,4.5,118900,2017,1,5,1,1,0,0,0
53410,8,4.7,132000,2017,1,5,1,1,0,0,0
53411,19,5.0,149100,2017,1,5,1,1,0,0,0
53412,8,5.3,167000,2017,1,5,1,1,0,0,0
53414,35,5.0,58000,2017,1,5,1,0,1,0,0
53415,8,6.0,113000,2017,1,5,1,0,1,0,0
53416,20,6.5,144800,2017,1,5,1,0,1,0,0
53427,53,3.5,85000,2017,1,6,1,1,0,0,0
53428,14,4.0,110000,2017,1,6,1,1,0,0,0
53429,69,4.5,116900,2017,1,6,1,1,0,0,0
53430,1,4.8,140000,2017,1,6,1,1,0,0,0
53431,55,5.0,159800,2017,1,6,1,1,0,0,0
53432,3,5.3,172000,2017,1,6,1,1,0,0,0
53433,67,5.0,53000,2017,1,6,1,0,1,0,0
53434,1,5.2,50000,2017,1,6,1,0,1,0,0
53435,9,6.0,105000,2017,1,6,1,0,1,0,0
53436,10,6.5,140000,2017,1,6,1,0,1,0,0
