amount,weight,avg_price,yyyy,mm,dd,origin_방어진,origin_속초,origin_제주도,origin_죽변,standard_20미,standard_2단,standard_대,standard_중
39394,12,10.0,8000,2017,1,2,0,1,0,0,0,0,0,1
39395,22,15.0,10000,2017,1,2,0,1,0,0,0,0,0,1
39410,35,10.0,8900,2017,1,3,0,1,0,0,0,0,0,1
39412,23,14.0,129700,2017,1,3,0,0,1,0,0,0,1,0
39413,1,15.0,100000,2017,1,3,0,0,1,0,0,0,1,0
39424,6,16.0,110000,2017,1,4,1,0,0,0,0,0,0,1
39426,10,10.0,10000,2017,1,4,0,1,0,0,0,0,0,1
39429,44,10.0,120900,2017,1,4,0,0,1,0,0,0,0,1
39430,18,15.0,108900,2017,1,4,0,0,1,0,0,0,0,1
39443,5,10.0,54000,2017,1,5,1,0,0,0,0,1,0,0
39444,16,16.0,120000,2017,1,5,1,0,0,0,0,1,0,0
39445,5,16.0,120000,2017,1,5,1,0,0,0,0,0,0,1
39446,23,10.0,8300,2017,1,5,0,1,0,0,0,0,0,1
39451,10,15.0,77400,2017,1,6,1,0,0,0,0,1,0,0
39452,10,16.0,120000,2017,1,6,1,0,0,0,0,1,0,0
39454,10,16.0,120000,2017,1,6,1,0,0,0,0,0,0,1
39457,39,10.0,8700,2017,1,6,0,1,0,0,0,0,0,1
39458,11,15.0,120000,2017,1,6,0,0,1,0,0,0,1,0
39459,5,37.0,350000,2017,1,6,0,0,1,0,0,0,1,0
39468,10,16.0,120000,2017,1,7,1,0,0,0,0,1,0,0
39469,5,16.0,120000,2017,1,7,1,0,0,0,0,0,1,0
39470,12,16.0,120000,2017,1,7,1,0,0,0,0,0,0,1
39471,27,10.0,8800,2017,1,7,0,1,0,0,0,0,0,1
39485,5,15.0,50000,2017,1,9,1,0,0,0,0,1,0,0
39489,8,20.0,150000,2017,1,9,1,0,0,0,0,0,0,1
39491,21,10.0,4000,2017,1,9,0,1,0,0,1,0,0,0
39494,20,10.0,10000,2017,1,9,0,1,0,0,0,0,0,1
39495,27,20.0,133700,2017,1,9,0,0,1,0,0,0,0,1
39505,42,10.0,10000,2017,1,10,0,1,0,0,0,0,0,1
39517,3,16.0,150000,2017,1,11,1,0,0,0,0,1,0,0
39519,24,10.0,10000,2017,1,11,0,1,0,0,0,0,0,1
39521,34,15.0,128100,2017,1,11,0,0,1,0,0,0,1,0
39534,17,16.0,138200,2017,1,12,1,0,0,0,0,0,0,1
39535,12,10.0,10000,2017,1,12,0,1,0,0,0,0,0,1
39536,52,1.0,13900,2017,1,12,0,0,1,0,0,0,0,1
39537,8,30.0,346600,2017,1,12,0,0,1,0,0,0,0,1
39541,17,16.0,150000,2017,1,13,1,0,0,0,0,1,0,0
39544,10,16.0,150000,2017,1,13,1,0,0,0,0,0,1,0
39545,5,16.0,150000,2017,1,13,1,0,0,0,0,0,0,1
39546,17,10.0,10000,2017,1,13,0,1,0,0,1,0,0,0
39547,8,10.0,10000,2017,1,13,0,1,0,0,0,0,0,1
39548,19,15.0,140500,2017,1,13,0,0,1,0,0,0,1,0
39553,10,16.0,150000,2017,1,14,1,0,0,0,0,1,0,0
