수량,중량,평균가,yyyy,mm,dd,산지_부산(기장),산지_제주도,규격_18미,규격_20미,규격_24미,규격_26미,규격_28미,규격_중
3,10.0,40000,2017,1,2,1,0,0,1,0,0,0,0
652,15.0,31800,2017,1,2,1,0,0,1,0,0,0,0
70,20.0,45000,2017,1,2,1,0,0,1,0,0,0,0
288,15.0,37800,2017,1,3,1,0,0,1,0,0,0,0
432,15.0,37900,2017,1,4,1,0,0,1,0,0,0,0
693,15.0,35900,2017,1,5,1,0,0,1,0,0,0,0
438,15.0,33500,2017,1,6,1,0,0,1,0,0,0,0
28,10.0,40000,2017,1,7,1,0,0,1,0,0,0,0
276,15.0,35100,2017,1,7,1,0,0,1,0,0,0,0
26,15.0,60000,2017,1,11,1,0,0,1,0,0,0,0
377,15.0,53900,2017,1,12,1,0,0,1,0,0,0,0
74,15.0,86200,2017,1,13,1,0,0,1,0,0,0,0
32,15.0,80000,2017,1,16,1,0,0,1,0,0,0,0
79,15.0,55000,2017,1,18,1,0,0,1,0,0,0,0
164,15.0,56000,2017,1,19,1,0,0,1,0,0,0,0
196,15.0,54300,2017,1,20,1,0,0,1,0,0,0,0
93,15.0,51000,2017,1,21,1,0,0,1,0,0,0,0
226,15.0,55000,2017,1,23,1,0,0,1,0,0,0,0
3,15.0,70000,2017,1,24,1,0,0,1,0,0,0,0
47,15.0,75000,2017,1,25,1,0,0,1,0,0,0,0
30,15.0,70000,2017,1,26,1,0,0,1,0,0,0,0
781,15.0,40900,2017,2,6,1,0,0,1,0,0,0,0
262,15.0,50300,2017,2,7,1,0,0,1,0,0,0,0
439,15.0,48200,2017,2,8,1,0,0,1,0,0,0,0
180,15.0,47000,2017,2,9,1,0,0,1,0,0,0,0
41,15.0,70000,2017,2,10,1,0,0,1,0,0,0,0
158,15.0,70000,2017,2,18,1,0,0,1,0,0,0,0
115,15.0,70000,2017,2,20,1,0,0,1,0,0,0,0
101,15.0,57000,2017,2,22,1,0,0,1,0,0,0,0
2,15.0,60000,2017,2,23,1,0,0,1,0,0,0,0
148,15.0,50600,2017,2,24,1,0,0,1,0,0,0,0
48,15.0,65000,2017,3,1,1,0,0,1,0,0,0,0
265,15.0,60700,2017,3,2,1,0,0,1,0,0,0,0
834,15.0,41700,2017,3,3,1,0,0,1,0,0,0,0
237,15.0,37300,2017,3,4,1,0,0,1,0,0,0,0
757,15.0,30700,2017,3,6,1,0,0,1,0,0,0,0
172,15.0,32000,2017,3,7,1,0,0,1,0,0,0,0
378,15.0,28400,2017,3,8,1,0,0,1,0,0,0,0
36,15.0,55000,2017,3,9,1,0,0,1,0,0,0,0
49,15.0,65000,2017,3,11,1,0,0,1,0,0,0,0
56,15.0,70000,2017,3,17,1,0,0,1,0,0,0,0
341,15.0,53200,2017,3,18,1,0,0,1,0,0,0,0
290,15.0,56500,2017,3,20,1,0,0,1,0,0,0,0
217,15.0,43200,2017,3,21,1,0,0,1,0,0,0,0
32,15.0,50000,2017,3,22,1,0,0,1,0,0,0,0
38,15.0,70000,2017,3,25,1,0,0,1,0,0,0,0
73,15.0,68800,2017,3,27,1,0,0,1,0,0,0,0
69,15.0,73200,2017,3,28,1,0,0,1,0,0,0,0
2,15.0,100000,2017,4,1,1,0,0,1,0,0,0,0
60,15.0,80000,2017,4,3,1,0,0,1,0,0,0,0
33,15.0,100000,2017,4,5,1,0,0,1,0,0,0,0
96,15.0,80000,2017,4,6,1,0,0,1,0,0,0,0
53,15.0,80000,2017,4,7,1,0,0,1,0,0,0,0
19,10.0,80000,2017,5,25,1,0,0,1,0,0,0,0
120,15.0,40000,2017,5,31,1,0,0,1,0,0,0,0
57,18.0,40000,2017,5,31,1,0,0,1,0,0,0,0
45,18.0,38000,2017,6,1,1,0,0,1,0,0,0,0
21,18.0,60000,2017,6,2,1,0,0,1,0,0,0,0
78,18.0,50000,2017,6,3,1,0,0,1,0,0,0,0
57,10.0,60000,2017,6,5,1,0,0,1,0,0,0,0
46,18.0,60000,2017,6,6,1,0,0,1,0,0,0,0
20,18.0,60000,2017,6,7,1,0,0,1,0,0,0,0
276,18.0,45000,2017,6,15,1,0,0,1,0,0,0,0
138,18.0,39300,2017,6,16,1,0,0,1,0,0,0,0
42,18.0,50000,2017,6,20,1,0,0,1,0,0,0,0
40,10.0,45000,2017,6,21,1,0,0,1,0,0,0,0
48,18.0,48900,2017,6,26,1,0,0,1,0,0,0,0
30,18.0,33000,2017,6,27,1,0,0,1,0,0,0,0
18,18.0,54700,2017,6,28,1,0,0,1,0,0,0,0
190,18.0,35100,2017,6,29,1,0,0,1,0,0,0,0
17,18.0,41200,2017,6,30,1,0,0,1,0,0,0,0
25,18.0,47600,2017,7,1,1,0,0,1,0,0,0,0
144,18.0,50600,2017,7,4,1,0,0,1,0,0,0,0
48,18.0,75000,2017,7,7,1,0,0,1,0,0,0,0
34,18.0,49700,2017,7,8,1,0,0,1,0,0,0,0
346,18.0,38100,2017,7,15,1,0,0,1,0,0,0,0
271,18.0,35900,2017,7,17,1,0,0,1,0,0,0,0
103,18.0,45000,2017,7,18,1,0,0,1,0,0,0,0
463,18.0,36400,2017,7,19,1,0,0,1,0,0,0,0
411,18.0,26700,2017,7,20,1,0,0,1,0,0,0,0
283,18.0,36900,2017,7,21,1,0,0,1,0,0,0,0
154,18.0,32800,2017,7,22,1,0,0,1,0,0,0,0
221,18.0,17200,2017,7,24,1,0,0,1,0,0,0,0
1196,18.0,12700,2017,7,25,1,0,0,1,0,0,0,0
366,18.0,16000,2017,7,26,1,0,0,1,0,0,0,0
214,18.0,30000,2017,7,27,1,0,0,1,0,0,0,0
42,18.0,40000,2017,7,28,1,0,0,1,0,0,0,0
300,18.0,20000,2017,7,31,1,0,0,1,0,0,0,0
673,18.0,19800,2017,8,1,1,0,0,1,0,0,0,0
20,18.0,30000,2017,8,2,1,0,0,1,0,0,0,0
120,18.0,49700,2017,8,3,1,0,0,1,0,0,0,0
1073,18.0,27900,2017,8,4,1,0,0,1,0,0,0,0
204,18.0,31200,2017,8,5,1,0,0,1,0,0,0,0
543,18.0,41500,2017,8,7,1,0,0,1,0,0,0,0
326,18.0,29300,2017,8,8,1,0,0,1,0,0,0,0
385,18.0,33100,2017,8,14,1,0,0,1,0,0,0,0
930,18.0,31100,2017,8,15,1,0,0,1,0,0,0,0
1366,18.0,28400,2017,8,16,1,0,0,1,0,0,0,0
561,18.0,23300,2017,8,17,1,0,0,1,0,0,0,0
333,18.0,23700,2017,8,18,1,0,0,1,0,0,0,0
245,18.0,29400,2017,8,19,1,0,0,1,0,0,0,0
522,10.0,26000,2017,8,21,1,0,0,1,0,0,0,0
314,10.0,27600,2017,8,22,1,0,0,1,0,0,0,0
159,10.0,29800,2017,8,23,1,0,0,1,0,0,0,0
264,10.0,46700,2017,8,24,1,0,0,1,0,0,0,0
