수량,중량,평균가,yyyy,mm,dd,산지_완도,산지_제주도,산지_태안,산지_통영
1648,1.0,15500,2017,1,2,0,1,0,0
1303,1.0,14500,2017,1,3,0,1,0,0
1228,1.0,12600,2017,1,4,0,1,0,0
933,1.0,15100,2017,1,5,0,1,0,0
1158,1.0,14300,2017,1,6,0,1,0,0
2965,1.0,13300,2017,1,7,0,1,0,0
686,1.0,15100,2017,1,9,0,1,0,0
2353,1.0,13100,2017,1,10,0,1,0,0
1356,1.0,14200,2017,1,11,0,1,0,0
789,1.0,15400,2017,1,12,0,1,0,0
2592,1.0,14100,2017,1,13,0,1,0,0
2014,1.0,15400,2017,1,14,0,1,0,0
812,1.0,15000,2017,1,16,0,1,0,0
1742,1.0,15400,2017,1,17,0,1,0,0
2221,1.0,14700,2017,1,18,0,1,0,0
2360,1.0,15000,2017,1,19,0,1,0,0
2672,1.0,14300,2017,1,20,0,1,0,0
1179,1.0,14200,2017,1,21,0,1,0,0
3333,1.0,13000,2017,1,23,0,1,0,0
1690,1.0,13900,2017,1,24,0,1,0,0
2432,1.0,13400,2017,1,25,0,1,0,0
1532,1.0,15400,2017,1,26,0,1,0,0
5168,1.0,15000,2017,2,1,0,1,0,0
2106,1.0,12900,2017,2,2,0,1,0,0
2135,1.0,14000,2017,2,3,0,1,0,0
3152,1.0,12300,2017,2,4,0,1,0,0
2698,1.0,13500,2017,2,6,0,1,0,0
1933,1.0,12600,2017,2,7,0,1,0,0
1093,1.0,13100,2017,2,8,0,1,0,0
2106,1.0,13000,2017,2,9,0,1,0,0
2639,1.0,12400,2017,2,10,0,1,0,0
1514,1.0,12900,2017,2,11,0,1,0,0
1894,1.0,14000,2017,2,13,0,1,0,0
1885,1.0,13200,2017,2,14,0,1,0,0
2592,1.0,13600,2017,2,15,0,1,0,0
2326,1.0,12700,2017,2,16,0,1,0,0
2611,1.0,13800,2017,2,17,0,1,0,0
4248,1.0,13200,2017,2,18,0,1,0,0
1985,1.0,13700,2017,2,20,0,1,0,0
793,1.0,14400,2017,2,21,0,1,0,0
3006,1.0,13300,2017,2,22,0,1,0,0
2711,1.0,12300,2017,2,23,0,1,0,0
1942,1.0,14000,2017,2,24,0,1,0,0
3586,1.0,12300,2017,2,25,0,1,0,0
1576,1.0,14000,2017,2,27,0,1,0,0
2036,1.0,13700,2017,2,28,0,1,0,0
2787,1.0,14100,2017,3,1,0,1,0,0
1801,1.0,14200,2017,3,2,0,1,0,0
570,1.0,17200,2017,3,3,0,1,0,0
1219,1.0,14000,2017,3,4,0,1,0,0
1332,1.0,13500,2017,3,6,0,1,0,0
1808,1.0,13400,2017,3,7,0,1,0,0
1943,1.0,12400,2017,3,8,0,1,0,0
1774,1.0,12900,2017,3,9,0,1,0,0
2237,1.0,14400,2017,3,10,0,1,0,0
2751,1.0,13400,2017,3,11,0,1,0,0
2313,1.0,11400,2017,3,13,0,1,0,0
940,1.0,14400,2017,3,14,0,1,0,0
1379,1.0,15800,2017,3,15,0,1,0,0
1422,1.0,14800,2017,3,16,0,1,0,0
1532,1.0,16000,2017,3,17,0,1,0,0
2410,1.0,15700,2017,3,18,0,1,0,0
2236,1.0,14000,2017,3,20,0,1,0,0
2124,1.0,14400,2017,3,21,0,1,0,0
1687,1.0,15400,2017,3,22,0,1,0,0
666,1.0,14200,2017,3,23,0,1,0,0
2296,1.0,14600,2017,3,24,0,1,0,0
