수량,중량,평균가,yyyy,mm,dd,산지_군산,산지_보령,산지_속초,산지_안흥,산지_여수,규격_10미,규격_대,규격_중,포장_S/P,포장_box,포장_c/s(상자),포장_kg
11,10.0,30000,2017,1,17,1,0,0,0,0,1,0,0,0,1,0,0
18,10.0,20000,2017,1,19,1,0,0,0,0,1,0,0,0,1,0,0
13,10.0,20000,2017,1,20,1,0,0,0,0,1,0,0,0,1,0,0
14,10.0,20000,2017,1,21,1,0,0,0,0,1,0,0,0,1,0,0
18,10.0,20000,2017,1,23,1,0,0,0,0,1,0,0,0,1,0,0
17,10.0,20000,2017,1,24,1,0,0,0,0,1,0,0,0,1,0,0
19,10.0,20000,2017,1,25,1,0,0,0,0,1,0,0,0,1,0,0
15,10.0,20000,2017,1,26,1,0,0,0,0,1,0,0,0,1,0,0
14,10.0,20000,2017,1,27,1,0,0,0,0,1,0,0,0,1,0,0
16,10.0,32900,2017,2,2,1,0,0,0,0,1,0,0,0,1,0,0
7,10.0,32000,2017,2,3,1,0,0,0,0,1,0,0,0,1,0,0
13,10.0,20000,2017,2,7,1,0,0,0,0,1,0,0,0,1,0,0
14,10.0,20000,2017,2,8,1,0,0,0,0,1,0,0,0,1,0,0
12,10.0,32400,2017,2,24,1,0,0,0,0,1,0,0,0,1,0,0
15,10.0,31100,2017,2,28,1,0,0,0,0,1,0,0,0,1,0,0
15,10.0,31000,2017,3,1,1,0,0,0,0,1,0,0,0,1,0,0
13,10.0,31000,2017,3,2,1,0,0,0,0,1,0,0,0,1,0,0
5,10.0,30000,2017,3,4,1,0,0,0,0,1,0,0,0,1,0,0
10,10.0,42500,2017,3,8,1,0,0,0,0,1,0,0,0,1,0,0
11,10.0,31000,2017,3,10,1,0,0,0,0,1,0,0,0,1,0,0
10,10.0,33100,2017,3,11,1,0,0,0,0,1,0,0,0,1,0,0
10,10.0,32200,2017,3,13,1,0,0,0,0,1,0,0,0,1,0,0
7,10.0,35000,2017,3,17,1,0,0,0,0,1,0,0,0,1,0,0
30,10.0,31500,2017,3,18,1,0,0,0,0,1,0,0,0,1,0,0
18,10.0,33100,2017,3,20,1,0,0,0,0,1,0,0,0,1,0,0
5,10.0,32200,2017,3,28,1,0,0,0,0,1,0,0,0,1,0,0
5,10.0,6700,2017,4,1,1,0,0,0,0,1,0,0,0,1,0,0
20,10.0,27300,2017,4,5,1,0,0,0,0,1,0,0,0,1,0,0
19,10.0,31500,2017,4,6,1,0,0,0,0,1,0,0,0,1,0,0
23,10.0,32800,2017,4,7,1,0,0,0,0,1,0,0,0,1,0,0
14,10.0,35000,2017,4,19,1,0,0,0,0,1,0,0,0,1,0,0
6,10.0,38100,2017,5,29,1,0,0,0,0,1,0,0,0,1,0,0
14,10.0,41500,2017,5,30,1,0,0,0,0,1,0,0,0,1,0,0
25,10.0,25800,2017,6,1,1,0,0,0,0,1,0,0,0,1,0,0
5,10.0,25600,2017,6,6,1,0,0,0,0,1,0,0,0,1,0,0
7,10.0,25500,2017,6,7,1,0,0,0,0,1,0,0,0,1,0,0
7,10.0,43700,2017,6,10,1,0,0,0,0,1,0,0,0,1,0,0
26,10.0,35100,2017,6,12,1,0,0,0,0,1,0,0,0,1,0,0
8,10.0,36300,2017,6,13,1,0,0,0,0,1,0,0,0,1,0,0
2,10.0,34000,2017,6,14,1,0,0,0,0,1,0,0,0,1,0,0
7,10.0,40000,2017,6,17,1,0,0,0,0,1,0,0,0,1,0,0
8,10.0,35000,2017,6,19,1,0,0,0,0,1,0,0,0,1,0,0
6,10.0,35000,2017,6,20,1,0,0,0,0,1,0,0,0,1,0,0
24,10.0,37700,2017,6,22,1,0,0,0,0,1,0,0,0,1,0,0
21,10.0,36400,2017,6,23,1,0,0,0,0,1,0,0,0,1,0,0
17,10.0,40200,2017,6,26,1,0,0,0,0,1,0,0,0,1,0,0
17,10.0,36000,2017,6,27,1,0,0,0,0,1,0,0,0,1,0,0
20,10.0,34500,2017,6,30,1,0,0,0,0,1,0,0,0,1,0,0
5,10.0,38200,2017,7,4,1,0,0,0,0,1,0,0,0,1,0,0
9,10.0,35200,2017,7,5,1,0,0,0,0,1,0,0,0,1,0,0
28,10.0,35400,2017,7,6,1,0,0,0,0,1,0,0,0,1,0,0
20,10.0,36300,2017,7,7,1,0,0,0,0,1,0,0,0,1,0,0
18,10.0,34300,2017,7,8,1,0,0,0,0,1,0,0,0,1,0,0
25,10.0,35400,2017,7,10,1,0,0,0,0,1,0,0,0,1,0,0
14,10.0,38600,2017,7,11,1,0,0,0,0,1,0,0,0,1,0,0
14,10.0,38100,2017,7,17,1,0,0,0,0,1,0,0,0,1,0,0
25,10.0,40200,2017,7,19,1,0,0,0,0,1,0,0,0,1,0,0
16,10.0,34400,2017,7,21,1,0,0,0,0,1,0,0,0,1,0,0
9,10.0,35700,2017,7,22,1,0,0,0,0,1,0,0,0,1,0,0
10,10.0,36300,2017,7,25,1,0,0,0,0,1,0,0,0,1,0,0
33,10.0,37300,2017,7,28,1,0,0,0,0,1,0,0,0,1,0,0
19,10.0,34700,2017,7,31,1,0,0,0,0,1,0,0,0,1,0,0
