수량,중량,평균가,yyyy,mm,dd,산지_서천,산지_완도,산지_충무,산지_통영,산지_흑산도
355,1.0,10500,2017,1,2,0,0,0,1,0
121,1.0,11300,2017,1,3,0,0,0,1,0
16,1.0,10500,2017,1,6,0,0,0,1,0
333,1.0,9800,2017,1,7,0,0,0,1,0
98,1.0,11900,2017,1,9,0,0,0,1,0
97,1.0,7500,2017,1,10,0,0,0,1,0
263,1.0,11300,2017,1,11,0,0,0,1,0
42,1.0,8700,2017,1,12,0,0,0,1,0
202,1.0,16100,2017,1,13,0,0,0,1,0
596,1.0,12500,2017,1,14,0,0,0,1,0
390,1.0,11100,2017,1,16,0,0,0,1,0
27,1.0,11300,2017,1,17,0,0,0,1,0
31,1.0,11200,2017,1,18,0,0,0,1,0
50,1.0,9700,2017,1,19,0,0,0,1,0
408,1.0,14400,2017,1,20,0,0,0,1,0
159,1.0,11400,2017,1,21,0,0,0,1,0
428,1.0,8800,2017,1,23,0,0,0,1,0
79,1.0,10100,2017,1,24,0,0,0,1,0
235,1.0,12700,2017,1,25,0,0,0,1,0
183,1.0,12700,2017,1,27,0,0,0,1,0
699,1.0,13200,2017,2,1,0,0,0,1,0
568,1.0,7200,2017,2,2,0,0,0,1,0
751,1.0,7800,2017,2,3,0,0,0,1,0
363,1.0,8000,2017,2,4,0,0,0,1,0
596,1.0,9600,2017,2,6,0,0,0,1,0
229,1.0,7500,2017,2,7,0,0,0,1,0
398,1.0,6500,2017,2,8,0,0,0,1,0
188,1.0,7700,2017,2,9,0,0,0,1,0
838,1.0,8400,2017,2,10,0,0,0,1,0
756,1.0,7600,2017,2,13,0,0,0,1,0
625,1.0,8700,2017,2,14,0,0,0,1,0
399,1.0,7000,2017,2,15,0,0,0,1,0
565,1.0,8300,2017,2,16,0,0,0,1,0
843,1.0,7800,2017,2,17,0,0,0,1,0
643,1.0,8300,2017,2,18,0,0,0,1,0
534,1.0,8700,2017,2,20,0,0,0,1,0
289,1.0,7500,2017,2,21,0,0,0,1,0
187,1.0,7600,2017,2,22,0,0,0,1,0
192,1.0,8100,2017,2,23,0,0,0,1,0
517,1.0,9700,2017,2,24,0,0,0,1,0
289,1.0,9700,2017,2,25,0,0,0,1,0
262,1.0,9400,2017,2,27,0,0,0,1,0
548,1.0,10200,2017,2,28,0,0,0,1,0
349,1.0,10200,2017,3,1,0,0,0,1,0
742,1.0,7600,2017,3,2,0,0,0,1,0
492,1.0,7600,2017,3,3,0,0,0,1,0
322,1.0,9200,2017,3,4,0,0,0,1,0
377,1.0,7000,2017,3,6,0,0,0,1,0
470,1.0,7500,2017,3,7,0,0,0,1,0
172,1.0,5200,2017,3,8,0,0,0,1,0
476,1.0,6800,2017,3,9,0,0,0,1,0
350,1.0,6900,2017,3,10,0,0,0,1,0
477,1.0,8700,2017,3,11,0,0,0,1,0
325,1.0,8800,2017,3,13,0,0,0,1,0
420,1.0,10500,2017,3,14,0,0,0,1,0
3,1.0,17000,2017,3,15,0,0,0,1,0
350,1.0,11100,2017,3,16,0,0,0,1,0
172,1.0,7400,2017,3,17,0,0,0,1,0
530,1.0,8100,2017,3,18,0,0,0,1,0
636,1.0,5500,2017,3,20,0,0,0,1,0
1768,1.0,4400,2017,3,21,0,0,0,1,0
1416,1.0,5100,2017,3,23,0,0,0,1,0
23,1.0,7400,2017,3,24,0,0,0,1,0
178,1.0,11400,2017,3,25,0,0,0,1,0
247,1.0,11400,2017,3,27,0,0,0,1,0
504,1.0,11600,2017,3,28,0,0,0,1,0
374,1.0,9100,2017,3,29,0,0,0,1,0
343,1.0,10700,2017,3,30,0,0,0,1,0
542,1.0,9300,2017,3,31,0,0,0,1,0
1168,1.0,8100,2017,4,1,0,0,0,1,0
659,1.0,7400,2017,4,3,0,0,0,1,0
191,1.0,6500,2017,4,4,0,0,0,1,0
179,1.0,6600,2017,4,5,0,0,0,1,0
428,1.0,8500,2017,4,6,0,0,0,1,0
110,1.0,8700,2017,4,7,0,0,0,1,0
726,1.0,9900,2017,4,8,0,0,0,1,0
1463,1.0,6900,2017,4,10,0,0,0,1,0
141,1.0,8800,2017,4,11,0,0,0,1,0
126,1.0,7500,2017,4,12,0,0,0,1,0
53,1.0,7900,2017,4,13,0,0,0,1,0
216,1.0,12400,2017,4,14,0,0,0,1,0
562,1.0,11100,2017,4,15,0,0,0,1,0
430,1.0,10900,2017,4,17,0,0,0,1,0
511,1.0,9900,2017,4,18,0,0,0,1,0
50,1.0,9800,2017,4,19,0,0,0,1,0
377,1.0,8400,2017,4,20,0,0,0,1,0
543,1.0,9400,2017,4,21,0,0,0,1,0
256,1.0,12000,2017,4,22,0,0,0,1,0
367,1.0,9400,2017,4,24,0,0,0,1,0
357,1.0,8500,2017,4,25,0,0,0,1,0
218,1.0,8700,2017,4,27,0,0,0,1,0
196,1.0,8500,2017,4,28,0,0,0,1,0
209,1.0,8400,2017,4,29,0,0,0,1,0
157,1.0,7100,2017,5,1,0,0,0,1,0
292,1.0,8900,2017,5,3,0,0,0,1,0
68,1.0,8300,2017,5,4,0,0,0,1,0
457,1.0,9000,2017,5,5,0,0,0,1,0
468,1.0,10000,2017,5,6,0,0,0,1,0
