수량,중량,평균가,yyyy,mm,dd,산지_노르웨이,산지_러시아
392,1.0,40500,2017,1,2,0,1
294,1.0,58900,2017,1,3,0,1
1242,1.0,54800,2017,1,4,0,1
756,1.0,53300,2017,1,5,0,1
2645,1.0,36500,2017,1,6,0,1
550,1.0,55200,2017,1,7,0,1
1308,1.0,40500,2017,1,9,0,1
1274,1.0,37800,2017,1,10,0,1
77,1.0,61200,2017,1,11,0,1
1261,1.0,55700,2017,1,12,0,1
376,1.0,56500,2017,1,13,0,1
574,1.0,61400,2017,1,14,0,1
55,1.0,61500,2017,1,16,0,1
78,1.0,55600,2017,1,18,0,1
306,1.0,60600,2017,1,20,0,1
1119,1.0,60000,2017,1,21,0,1
1811,1.0,54500,2017,1,23,0,1
583,1.0,57300,2017,1,24,0,1
1079,1.0,46700,2017,1,25,0,1
1095,1.0,53000,2017,1,26,0,1
1017,1.0,61000,2017,1,27,0,1
1182,1.0,50900,2017,2,1,0,1
1210,1.0,46800,2017,2,2,0,1
584,1.0,52300,2017,2,3,0,1
1591,1.0,45200,2017,2,4,0,1
752,1.0,47300,2017,2,6,0,1
1186,1.0,37500,2017,2,7,0,1
560,1.0,39300,2017,2,8,0,1
1461,1.0,35100,2017,2,9,0,1
409,1.0,37000,2017,2,10,0,1
868,1.0,42700,2017,2,11,0,1
2962,1.0,39000,2017,2,14,0,1
608,1.0,37600,2017,2,15,0,1
564,1.0,36600,2017,2,16,0,1
171,1.0,39600,2017,2,17,0,1
2138,1.0,36400,2017,2,18,0,1
904,1.0,36800,2017,2,20,0,1
251,1.0,33700,2017,2,21,0,1
1120,1.0,32900,2017,2,22,0,1
212,1.0,33000,2017,2,23,0,1
533,1.0,36700,2017,2,24,0,1
368,1.0,42100,2017,2,25,0,1
1221,1.0,37400,2017,2,27,0,1
387,1.0,42600,2017,2,28,0,1
967,1.0,42600,2017,3,1,0,1
2372,1.0,40100,2017,3,3,0,1
2276,1.0,32900,2017,3,4,0,1
394,1.0,40200,2017,3,6,0,1
758,1.0,36800,2017,3,7,0,1
1079,1.0,38500,2017,3,8,0,1
947,1.0,35300,2017,3,9,0,1
578,1.0,36400,2017,3,10,0,1
1388,1.0,36400,2017,3,11,0,1
593,1.0,42000,2017,3,13,0,1
732,1.0,41400,2017,3,14,0,1
1896,1.0,30600,2017,3,15,0,1
1010,1.0,32800,2017,3,16,0,1
1195,1.0,33500,2017,3,17,0,1
1155,1.0,37000,2017,3,18,0,1
265,1.0,41600,2017,3,20,0,1
1195,1.0,33000,2017,3,21,0,1
1497,1.0,23500,2017,3,22,0,1
67,1.0,33000,2017,3,23,0,1
827,1.0,35700,2017,3,24,0,1
1507,1.0,38700,2017,3,25,0,1
252,1.0,41300,2017,3,28,0,1
1314,1.0,40500,2017,3,29,0,1
732,1.0,42400,2017,3,30,0,1
614,1.0,38900,2017,3,31,0,1
1313,1.0,41000,2017,4,1,0,1
390,1.0,44800,2017,4,4,0,1
348,1.0,44600,2017,4,5,0,1
462,1.0,49900,2017,4,6,0,1
646,1.0,48600,2017,4,7,0,1
963,1.0,49600,2017,4,8,0,1
21,1.0,47300,2017,4,10,0,1
497,1.0,47600,2017,4,11,0,1
72,1.0,52500,2017,4,12,0,1
554,1.0,58400,2017,4,13,0,1
982,1.0,58900,2017,4,14,0,1
1236,1.0,57400,2017,4,15,0,1
583,1.0,31600,2017,4,17,0,1
651,1.0,55500,2017,4,19,0,1
749,1.0,58400,2017,4,21,0,1
95,1.0,65300,2017,4,22,0,1
64,1.0,65300,2017,4,25,0,1
117,1.0,69100,2017,4,26,0,1
1438,1.0,59500,2017,4,27,0,1
599,1.0,56700,2017,4,28,0,1
201,1.0,61900,2017,4,29,0,1
440,1.0,56800,2017,5,1,0,1
468,1.0,55000,2017,5,2,0,1
168,1.0,59600,2017,5,3,0,1
33,1.0,57200,2017,5,4,0,1
165,1.0,66900,2017,5,5,0,1
208,1.0,72800,2017,5,6,0,1
210,1.0,70500,2017,5,8,0,1
1064,1.0,61000,2017,5,9,0,1
756,1.0,47600,2017,5,10,0,1
81,1.0,41000,2017,5,11,0,1
203,1.0,52100,2017,5,12,0,1
1020,1.0,52900,2017,5,13,0,1
263,1.0,51200,2017,5,15,0,1
868,1.0,46000,2017,5,16,0,1
700,1.0,40900,2017,5,17,0,1
199,1.0,42600,2017,5,18,0,1
595,1.0,38900,2017,5,19,0,1
395,1.0,43500,2017,5,20,0,1
488,1.0,42300,2017,5,22,0,1
542,1.0,38300,2017,5,23,0,1
1232,1.0,31500,2017,5,24,0,1
244,1.0,31100,2017,5,25,0,1
1331,1.0,34800,2017,5,26,0,1
358,1.0,35800,2017,5,27,0,1
216,1.0,35700,2017,5,29,0,1
227,1.0,42100,2017,5,30,0,1
111,1.0,43400,2017,5,31,0,1
70,1.0,36300,2017,6,1,0,1
278,1.0,44200,2017,6,2,0,1
1061,1.0,47200,2017,6,3,0,1
612,1.0,47800,2017,6,5,0,1
1250,1.0,29300,2017,6,6,0,1
10,1.0,51000,2017,6,7,0,1
1265,1.0,36300,2017,6,9,0,1
674,1.0,35300,2017,6,10,0,1
675,1.0,33600,2017,6,12,0,1
206,1.0,29700,2017,6,13,0,1
397,1.0,41900,2017,6,14,0,1
302,1.0,42300,2017,6,15,0,1
1436,1.0,41400,2017,6,16,0,1
1186,1.0,37500,2017,6,17,0,1
615,1.0,18300,2017,6,19,0,1
972,1.0,34700,2017,6,20,0,1
359,1.0,28900,2017,6,21,0,1
149,1.0,35800,2017,6,22,0,1
170,1.0,25700,2017,6,23,0,1
988,1.0,40500,2017,6,24,0,1
723,1.0,29600,2017,6,26,0,1
297,1.0,34000,2017,6,27,0,1
235,1.0,30800,2017,6,28,0,1
35,1.0,34600,2017,6,29,0,1
31,1.0,52600,2017,6,30,0,1
609,1.0,57800,2017,7,1,0,1
121,1.0,56100,2017,7,3,0,1
113,1.0,55300,2017,7,5,0,1
562,1.0,35800,2017,7,6,0,1
228,1.0,45700,2017,7,7,0,1
638,1.0,57000,2017,7,8,0,1
363,1.0,39700,2017,7,10,0,1
230,1.0,44000,2017,7,11,0,1
222,1.0,46300,2017,7,14,0,1
810,1.0,42200,2017,7,15,0,1
375,1.0,29800,2017,7,17,0,1
18,1.0,57000,2017,7,18,0,1
494,1.0,34700,2017,7,19,0,1
125,1.0,41900,2017,7,20,0,1
264,1.0,40500,2017,7,21,0,1
421,1.0,27800,2017,7,22,0,1
146,1.0,48000,2017,7,24,0,1
190,1.0,56200,2017,7,25,0,1
40,1.0,64100,2017,7,26,0,1
205,1.0,54400,2017,7,27,0,1
844,1.0,44600,2017,7,28,0,1
624,1.0,43000,2017,7,31,0,1
680,1.0,35600,2017,8,1,0,1
143,1.0,23100,2017,8,2,0,1
490,1.0,22000,2017,8,3,0,1
200,1.0,22600,2017,8,4,0,1
248,1.0,35600,2017,8,5,0,1
182,1.0,54800,2017,8,7,0,1
668,1.0,33700,2017,8,8,0,1
225,1.0,24300,2017,8,9,0,1
200,1.0,32300,2017,8,10,0,1
678,1.0,38100,2017,8,11,0,1
1410,1.0,43900,2017,8,12,0,1
907,1.0,34800,2017,8,14,0,1
258,1.0,44000,2017,8,15,0,1
16,1.0,48000,2017,8,16,0,1
856,1.0,37500,2017,8,18,0,1
824,1.0,37900,2017,8,19,0,1
98,1.0,39100,2017,8,21,0,1
35,1.0,31100,2017,8,22,0,1
26,1.0,4900,2017,8,24,0,1
1027,1.0,29000,2017,8,25,0,1
148,1.0,24900,2017,8,29,0,1
259,1.0,32300,2017,8,30,0,1
865,1.0,28800,2017,9,1,0,1
1635,1.0,19100,2017,9,2,0,1
688,1.0,23800,2017,9,4,0,1
203,1.0,15100,2017,9,5,0,1
189,1.0,12200,2017,9,6,0,1
448,1.0,22000,2017,9,7,0,1
257,1.0,16500,2017,9,8,0,1
383,1.0,16400,2017,9,9,0,1
208,1.0,17800,2017,9,11,0,1
380,1.0,14000,2017,9,12,0,1
1099,1.0,33800,2017,9,13,0,1
859,1.0,30700,2017,9,14,0,1
1667,1.0,29300,2017,9,15,0,1
912,1.0,24400,2017,9,16,0,1
741,1.0,36800,2017,9,18,0,1
886,1.0,34500,2017,9,19,0,1
1290,1.0,32500,2017,9,20,0,1
1168,1.0,29200,2017,9,21,0,1
2118,1.0,29000,2017,9,22,0,1
1094,1.0,28400,2017,9,23,0,1
12,1.0,26600,2017,9,25,0,1
787,1.0,31400,2017,9,26,0,1
1406,1.0,27600,2017,9,27,0,1
221,1.0,32700,2017,9,28,0,1
1656,1.0,30200,2017,9,29,0,1
2288,1.0,32300,2017,9,30,0,1
1710,1.0,35300,2017,10,1,0,1
1976,1.0,36300,2017,10,2,0,1
2693,1.0,39100,2017,10,3,0,1
1429,1.0,31800,2017,10,9,0,1
176,1.0,40400,2017,10,10,0,1
656,1.0,37100,2017,10,11,0,1
2390,1.0,35000,2017,10,12,0,1
870,1.0,34200,2017,10,13,0,1
3046,1.0,27400,2017,10,14,0,1
123,1.0,27600,2017,10,16,0,1
954,1.0,31900,2017,10,17,0,1
1787,1.0,30200,2017,10,18,0,1
844,1.0,28800,2017,10,19,0,1
1191,1.0,29800,2017,10,20,0,1
2764,1.0,26100,2017,10,21,0,1
634,1.0,29400,2017,10,23,0,1
2560,1.0,23900,2017,10,24,0,1
1100,1.0,23100,2017,10,25,0,1
726,1.0,24000,2017,10,26,0,1
1381,1.0,25600,2017,10,27,0,1
2661,1.0,27700,2017,10,28,0,1
1141,1.0,26200,2017,10,30,0,1
1786,1.0,26600,2017,10,31,0,1
1025,1.0,27700,2017,11,1,0,1
1761,1.0,29400,2017,11,2,0,1
1341,1.0,29400,2017,11,3,0,1
3193,1.0,29200,2017,11,4,0,1
1790,1.0,29100,2017,11,6,0,1
2419,1.0,25800,2017,11,7,0,1
2145,1.0,24300,2017,11,8,0,1
1830,1.0,25300,2017,11,9,0,1
1146,1.0,27500,2017,11,10,0,1
2415,1.0,28200,2017,11,11,0,1
206,1.0,33800,2017,11,13,0,1
611,1.0,33300,2017,11,14,0,1
1238,1.0,36200,2017,11,15,0,1
1993,1.0,34300,2017,11,16,0,1
2304,1.0,36800,2017,11,17,0,1
1234,1.0,36300,2017,11,18,0,1
604,1.0,37200,2017,11,20,0,1
685,1.0,40900,2017,11,21,0,1
733,1.0,37500,2017,11,22,0,1
193,1.0,42600,2017,11,23,0,1
1155,1.0,45600,2017,11,24,0,1
1556,1.0,49100,2017,11,25,0,1
969,1.0,54100,2017,11,27,0,1
432,1.0,47300,2017,11,28,0,1
1639,1.0,50500,2017,11,29,0,1
915,1.0,46900,2017,11,30,0,1
1543,1.0,46900,2017,12,1,0,1
738,1.0,45200,2017,12,2,0,1
348,1.0,55300,2017,12,4,0,1
1210,1.0,53900,2017,12,5,0,1
1850,1.0,58400,2017,12,6,0,1
1687,1.0,57600,2017,12,7,0,1
1825,1.0,56100,2017,12,8,0,1
2460,1.0,48200,2017,12,9,0,1
580,1.0,51700,2017,12,11,0,1
489,1.0,54500,2017,12,12,0,1
1610,1.0,50200,2017,12,13,0,1
2237,1.0,49200,2017,12,14,0,1
2199,1.0,44900,2017,12,15,0,1
1669,1.0,46900,2017,12,16,0,1
1552,1.0,49300,2017,12,18,0,1
1048,1.0,50800,2017,12,19,0,1
505,1.0,55400,2017,12,20,0,1
1258,1.0,58000,2017,12,21,0,1
2490,1.0,58600,2017,12,22,0,1
3239,1.0,56300,2017,12,23,0,1
1009,1.0,66600,2017,12,25,0,1
2257,1.0,61300,2017,12,26,0,1
825,1.0,63700,2017,12,27,0,1
3293,1.0,60900,2017,12,28,0,1
3930,1.0,54000,2017,12,29,0,1
4336,1.0,51000,2017,12,30,0,1
1314,1.0,57000,2018,1,2,0,1
340,1.0,59300,2018,1,3,0,1
752,1.0,60200,2018,1,4,0,1
2138,1.0,58800,2018,1,5,0,1
3708,1.0,51400,2018,1,6,0,1
589,1.0,57700,2018,1,8,0,1
1154,1.0,54700,2018,1,9,0,1
1014,1.0,47800,2018,1,10,0,1
99,1.0,47600,2018,1,11,0,1
820,1.0,51400,2018,1,12,0,1
2524,1.0,40300,2018,1,13,0,1
1270,1.0,39800,2018,1,15,0,1
1149,1.0,36300,2018,1,16,0,1
1586,1.0,33600,2018,1,17,0,1
102,1.0,28100,2018,1,18,0,1
829,1.0,41900,2018,1,19,0,1
1841,1.0,45600,2018,1,20,0,1
845,1.0,48400,2018,1,22,0,1
1562,1.0,29600,2018,1,23,0,1
1270,1.0,35000,2018,1,24,0,1
991,1.0,29400,2018,1,25,0,1
205,1.0,31200,2018,1,26,0,1
1730,1.0,42700,2018,1,27,0,1
1487,1.0,40100,2018,1,29,0,1
193,1.0,37700,2018,1,30,0,1
414,1.0,40000,2018,1,31,0,1
592,1.0,40000,2018,2,1,0,1
965,1.0,42000,2018,2,2,0,1
1980,1.0,52100,2018,2,3,0,1
1310,1.0,48800,2018,2,5,0,1
1102,1.0,50900,2018,2,6,0,1
907,1.0,44500,2018,2,7,0,1
1051,1.0,47300,2018,2,8,0,1
1858,1.0,52200,2018,2,9,0,1
1630,1.0,52600,2018,2,10,0,1
23,1.0,47000,2018,2,12,0,1
579,1.0,62800,2018,2,13,0,1
3771,1.0,50100,2018,2,14,0,1
3721,1.0,50600,2018,2,15,0,1
291,1.0,49100,2018,2,19,0,1
183,1.0,41500,2018,2,20,0,1
383,1.0,39900,2018,2,21,0,1
754,1.0,63300,2018,2,23,0,1
563,1.0,63200,2018,2,24,0,1
4,1.0,65900,2018,2,26,0,1
80,1.0,71900,2018,2,28,0,1
399,1.0,53700,2018,3,1,0,1
99,1.0,59500,2018,3,2,0,1
334,1.0,74600,2018,3,3,0,1
303,1.0,66300,2018,3,7,0,1
794,1.0,64900,2018,3,8,0,1
370,1.0,58800,2018,3,9,0,1
1111,1.0,55800,2018,3,10,0,1
333,1.0,59900,2018,3,12,0,1
499,1.0,60800,2018,3,13,0,1
268,1.0,61000,2018,3,14,0,1
450,1.0,59200,2018,3,15,0,1
764,1.0,53600,2018,3,16,0,1
1356,1.0,48500,2018,3,17,0,1
217,1.0,36800,2018,3,19,0,1
143,1.0,40800,2018,3,20,0,1
307,1.0,43500,2018,3,21,0,1
182,1.0,49000,2018,3,22,0,1
309,1.0,42200,2018,3,23,0,1
661,1.0,49100,2018,3,24,0,1
958,1.0,41200,2018,3,26,0,1
580,1.0,37700,2018,3,27,0,1
226,1.0,31200,2018,3,28,0,1
159,1.0,33100,2018,3,29,0,1
212,1.0,42200,2018,3,30,0,1
170,1.0,65200,2018,3,31,0,1
505,1.0,68100,2018,4,4,0,1
213,1.0,77200,2018,4,5,0,1
1130,1.0,70200,2018,4,6,0,1
792,1.0,73100,2018,4,7,0,1
137,1.0,69200,2018,4,10,0,1
300,1.0,67800,2018,4,11,0,1
275,1.0,72800,2018,4,12,0,1
1112,1.0,68500,2018,4,13,0,1
486,1.0,70400,2018,4,14,0,1
262,1.0,43100,2018,4,16,0,1
152,1.0,47600,2018,4,17,0,1
44,1.0,54900,2018,4,18,0,1
208,1.0,65200,2018,4,19,0,1
177,1.0,72200,2018,4,20,0,1
291,1.0,62000,2018,4,21,0,1
50,1.0,64500,2018,4,23,0,1
12,1.0,61500,2018,4,25,0,1
36,1.0,72100,2018,4,26,0,1
1914,1.0,43100,2018,4,28,0,1
372,1.0,43800,2018,5,1,0,1
185,1.0,77000,2018,5,2,0,1
108,1.0,70400,2018,5,3,0,1
498,1.0,67800,2018,5,4,0,1
649,1.0,65600,2018,5,5,0,1
136,1.0,76000,2018,5,7,0,1
50,1.0,50400,2018,5,8,0,1
167,1.0,66900,2018,5,9,0,1
1353,1.0,50800,2018,5,10,0,1
821,1.0,52000,2018,5,11,0,1
454,1.0,60600,2018,5,12,0,1
87,1.0,64700,2018,5,14,0,1
181,1.0,57300,2018,5,15,0,1
682,1.0,55400,2018,5,16,0,1
322,1.0,43300,2018,5,17,0,1
265,1.0,41000,2018,5,18,0,1
1230,1.0,48300,2018,5,19,0,1
341,1.0,47600,2018,5,21,0,1
442,1.0,55000,2018,5,22,0,1
511,1.0,44900,2018,5,23,0,1
876,1.0,38000,2018,5,24,0,1
345,1.0,48900,2018,5,25,0,1
1982,1.0,45400,2018,5,26,0,1
369,1.0,26000,2018,5,28,0,1
388,1.0,39300,2018,5,29,0,1
191,1.0,45300,2018,5,30,0,1
211,1.0,35700,2018,5,31,0,1
526,1.0,57400,2018,6,1,0,1
299,1.0,60800,2018,6,2,0,1
160,1.0,61300,2018,6,4,0,1
371,1.0,59400,2018,6,5,0,1
542,1.0,52100,2018,6,6,0,1
286,1.0,47100,2018,6,7,0,1
323,1.0,44700,2018,6,8,0,1
1344,1.0,25700,2018,6,9,0,1
133,1.0,26200,2018,6,11,0,1
212,1.0,34400,2018,6,12,0,1
288,1.0,53500,2018,6,13,0,1
565,1.0,62200,2018,6,14,0,1
867,1.0,43300,2018,6,15,0,1
289,1.0,58600,2018,6,16,0,1
106,1.0,28300,2018,6,19,0,1
482,1.0,60900,2018,6,20,0,1
735,1.0,39500,2018,6,21,0,1
147,1.0,55000,2018,6,22,0,1
1172,1.0,50500,2018,6,23,0,1
86,1.0,49200,2018,6,25,0,1
788,1.0,49300,2018,6,26,0,1
654,1.0,33200,2018,6,27,0,1
799,1.0,25300,2018,6,28,0,1
356,1.0,39000,2018,6,29,0,1
970,1.0,47600,2018,6,30,0,1
727,1.0,26900,2018,7,2,0,1
182,1.0,32600,2018,7,3,0,1
421,1.0,21800,2018,7,4,0,1
231,1.0,35700,2018,7,5,0,1
402,1.0,30900,2018,7,6,0,1
663,1.0,44600,2018,7,7,0,1
203,1.0,27100,2018,7,10,0,1
77,1.0,21700,2018,7,11,0,1
217,1.0,29800,2018,7,14,0,1
11,1.0,27000,2018,7,16,0,1
301,1.0,18600,2018,7,20,0,1
9,1.0,35000,2018,7,21,0,1
111,1.0,46500,2018,7,25,0,1
106,1.0,20200,2018,7,26,0,1
511,1.0,46000,2018,7,27,0,1
516,1.0,38500,2018,7,30,0,1
859,1.0,42100,2018,7,31,0,1
102,1.0,56800,2018,8,4,0,1
98,1.0,60100,2018,8,6,0,1
283,1.0,49000,2018,8,7,0,1
588,1.0,30600,2018,8,8,0,1
223,1.0,41600,2018,8,9,0,1
205,1.0,38200,2018,8,10,0,1
148,1.0,45200,2018,8,11,0,1
146,1.0,41700,2018,8,13,0,1
53,1.0,28500,2018,8,14,0,1
2,1.0,38000,2018,8,15,0,1
128,1.0,28200,2018,8,16,0,1
110,1.0,40600,2018,8,17,0,1
494,1.0,33500,2018,8,18,0,1
198,1.0,40300,2018,8,20,0,1
69,1.0,28600,2018,8,21,0,1
134,1.0,36200,2018,8,22,0,1
2,1.0,60000,2018,8,24,0,1
277,1.0,52000,2018,8,25,0,1
88,1.0,31400,2018,8,29,0,1
459,1.0,30600,2018,8,30,0,1
505,1.0,23300,2018,8,31,0,1
297,1.0,26300,2018,9,3,0,1
131,1.0,24100,2018,9,4,0,1
365,1.0,20200,2018,9,6,0,1
402,1.0,23500,2018,9,7,0,1
969,1.0,15700,2018,9,8,0,1
486,1.0,12400,2018,9,10,0,1
651,1.0,12000,2018,9,11,0,1
3,1.0,5000,2018,9,13,0,1
1656,1.0,37400,2018,9,14,0,1
1787,1.0,32500,2018,9,15,0,1
1388,1.0,32900,2018,9,17,0,1
1031,1.0,31400,2018,9,18,0,1
1019,1.0,32100,2018,9,19,0,1
1387,1.0,33600,2018,9,20,0,1
1464,1.0,30500,2018,9,21,0,1
2810,1.0,31700,2018,9,22,0,1
3122,1.0,38600,2018,9,23,0,1
2120,1.0,27500,2018,9,27,0,1
786,1.0,30100,2018,9,28,0,1
1314,1.0,34200,2018,9,29,0,1
1612,1.0,31200,2018,10,1,0,1
1450,1.0,27900,2018,10,2,0,1
2157,1.0,25800,2018,10,3,0,1
228,1.0,30300,2018,10,4,0,1
1664,1.0,27900,2018,10,5,0,1
2378,1.0,25700,2018,10,6,0,1
515,1.0,33700,2018,10,8,0,1
2032,1.0,30300,2018,10,9,0,1
477,1.0,32800,2018,10,10,0,1
498,1.0,35500,2018,10,11,0,1
2233,1.0,34100,2018,10,12,0,1
1887,1.0,32100,2018,10,13,0,1
946,1.0,35700,2018,10,15,0,1
1038,1.0,36700,2018,10,16,0,1
2451,1.0,32000,2018,10,17,0,1
690,1.0,31500,2018,10,18,0,1
739,1.0,32100,2018,10,19,0,1
1867,1.0,33500,2018,10,20,0,1
247,1.0,37200,2018,10,22,0,1
225,1.0,40600,2018,10,23,0,1
1160,1.0,42800,2018,10,24,0,1
1729,1.0,45800,2018,10,25,0,1
1891,1.0,38500,2018,10,26,0,1
2149,1.0,38300,2018,10,27,0,1
1141,1.0,34700,2018,10,29,0,1
770,1.0,34300,2018,10,30,0,1
737,1.0,37800,2018,10,31,0,1
1643,1.0,38300,2018,11,1,0,1
1560,1.0,36700,2018,11,2,0,1
2232,1.0,30600,2018,11,3,0,1
992,1.0,40300,2018,11,5,0,1
903,1.0,30400,2018,11,6,0,1
1930,1.0,37000,2018,11,7,0,1
1251,1.0,37500,2018,11,8,0,1
465,1.0,35200,2018,11,9,0,1
1513,1.0,40600,2018,11,10,0,1
946,1.0,44700,2018,11,12,0,1
1095,1.0,43600,2018,11,13,0,1
691,1.0,42000,2018,11,14,0,1
809,1.0,41000,2018,11,15,0,1
1503,1.0,38900,2018,11,16,0,1
1376,1.0,49100,2018,11,17,0,1
325,1.0,53000,2018,11,19,0,1
317,1.0,57800,2018,11,20,0,1
1038,1.0,52300,2018,11,21,0,1
1331,1.0,52200,2018,11,22,0,1
1650,1.0,45500,2018,11,23,0,1
1296,1.0,47600,2018,11,24,0,1
598,1.0,50700,2018,11,26,0,1
689,1.0,45900,2018,11,27,0,1
710,1.0,38200,2018,11,28,0,1
996,1.0,52300,2018,11,29,0,1
2204,1.0,45200,2018,11,30,0,1
1743,1.0,41000,2018,12,1,0,1
1639,1.0,41500,2018,12,3,0,1
1419,1.0,42200,2018,12,4,0,1
943,1.0,37200,2018,12,5,0,1
2103,1.0,36000,2018,12,6,0,1
1467,1.0,30400,2018,12,7,0,1
3998,1.0,28700,2018,12,8,0,1
1051,1.0,34200,2018,12,10,0,1
946,1.0,36700,2018,12,11,0,1
1089,1.0,41400,2018,12,12,0,1
3075,1.0,40400,2018,12,13,0,1
1943,1.0,38000,2018,12,14,0,1
3572,1.0,39700,2018,12,15,0,1
2783,1.0,38400,2018,12,17,0,1
1490,1.0,35800,2018,12,18,0,1
1675,1.0,37500,2018,12,19,0,1
742,1.0,44300,2018,12,20,0,1
3819,1.0,42100,2018,12,21,0,1
5264,1.0,40100,2018,12,22,0,1
2412,1.0,48900,2018,12,24,0,1
4152,1.0,50500,2018,12,25,0,1
2388,1.0,44000,2018,12,26,0,1
2072,1.0,47600,2018,12,27,0,1
2529,1.0,48900,2018,12,28,0,1
2835,1.0,51100,2018,12,29,0,1
5645,1.0,56700,2018,12,31,0,1
1571,1.0,53900,2019,1,2,0,1
2449,1.0,46200,2019,1,3,0,1
1924,1.0,48200,2019,1,4,0,1
1470,1.0,52700,2019,1,5,0,1
815,1.0,59000,2019,1,7,0,1
1988,1.0,54200,2019,1,8,0,1
419,1.0,55500,2019,1,9,0,1
1358,1.0,54800,2019,1,10,0,1
878,1.0,52500,2019,1,11,0,1
4891,1.0,51500,2019,1,12,0,1
2810,1.0,45100,2019,1,14,0,1
1580,1.0,39300,2019,1,15,0,1
386,1.0,36000,2019,1,16,0,1
1461,1.0,41200,2019,1,17,0,1
1197,1.0,40600,2019,1,18,0,1
944,1.0,46400,2019,1,19,0,1
1188,1.0,41800,2019,1,21,0,1
497,1.0,39500,2019,1,22,0,1
174,1.0,48500,2019,1,23,0,1
117,1.0,44700,2019,1,24,0,1
830,1.0,45900,2019,1,25,0,1
1720,1.0,56100,2019,1,26,0,1
1097,1.0,59300,2019,1,28,0,1
371,1.0,59200,2019,1,29,0,1
2251,1.0,51600,2019,1,30,0,1
1713,1.0,52600,2019,1,31,0,1
1975,1.0,39000,2019,2,1,0,1
1794,1.0,49800,2019,2,2,0,1
2594,1.0,67900,2019,2,4,0,1
267,1.0,67000,2019,2,8,0,1
2263,1.0,76800,2019,2,9,0,1
1692,1.0,63600,2019,2,11,0,1
2334,1.0,49600,2019,2,12,0,1
329,1.0,42400,2019,2,13,0,1
296,1.0,53500,2019,2,14,0,1
823,1.0,50200,2019,2,15,0,1
475,1.0,58100,2019,2,16,0,1
1188,1.0,57800,2019,2,18,0,1
491,1.0,49800,2019,2,19,0,1
529,1.0,49900,2019,2,20,0,1
505,1.0,54500,2019,2,21,0,1
1648,1.0,54900,2019,2,22,0,1
1189,1.0,54600,2019,2,23,0,1
476,1.0,56100,2019,2,25,0,1
1167,1.0,56100,2019,2,26,0,1
972,1.0,48800,2019,2,27,0,1
619,1.0,50800,2019,2,28,0,1
1276,1.0,55900,2019,3,1,0,1
1152,1.0,61700,2019,3,2,0,1
233,1.0,20000,2019,3,4,0,1
293,1.0,54500,2019,3,5,0,1
101,1.0,72800,2019,3,6,0,1
166,1.0,67500,2019,3,7,0,1
437,1.0,66900,2019,3,8,0,1
865,1.0,76900,2019,3,9,0,1
317,1.0,73200,2019,3,11,0,1
272,1.0,68200,2019,3,12,0,1
172,1.0,83200,2019,3,13,0,1
269,1.0,83800,2019,3,14,0,1
395,1.0,84100,2019,3,15,0,1
357,1.0,87500,2019,3,16,0,1
87,1.0,72500,2019,3,18,0,1
39,1.0,42500,2019,3,19,0,1
3,1.0,45000,2019,3,20,0,1
2313,1.0,68500,2019,3,23,0,1
1143,1.0,54400,2019,3,25,0,1
647,1.0,50300,2019,3,26,0,1
343,1.0,35400,2019,3,27,0,1
