날짜,어종,산지,규격,포장,수량,중량,평균가
2017-01-02,(선)왕게,러시아,중,kg,68,1,"17,100"
2017-01-02,(활)왕게,러시아,중,kg,392,1,"40,500"
2017-01-03,(활)왕게,노르웨이,중,kg,108,1,"50,600"
2017-01-03,(활)왕게,러시아,중,kg,294,1,"58,900"
2017-01-04,(선)왕게,러시아,중,kg,268,1,"23,900"
2017-01-04,(활)왕게,러시아,중,kg,"1,242",1,"54,800"
2017-01-05,(선)왕게,러시아,중,kg,12,1,"17,300"
2017-01-05,(활)왕게,러시아,중,kg,756,1,"53,300"
2017-01-06,(선)왕게,러시아,중,kg,"1,966",1,"9,500"
2017-01-06,(활)왕게,러시아,중,kg,"2,645",1,"36,500"
2017-01-07,(선)왕게,러시아,중,kg,54,1,"14,900"
2017-01-07,(활)왕게,러시아,중,kg,550,1,"55,200"
2017-01-09,(선)왕게,러시아,중,kg,482,1,"15,500"
2017-01-09,(활)왕게,러시아,중,kg,"1,308",1,"40,500"
2017-01-10,(냉)왕게,러시아,중,kg,16,1,"6,700"
2017-01-10,(선)왕게,노르웨이,중,kg,247,1,"8,300"
2017-01-10,(선)왕게,러시아,중,kg,488,1,"17,300"
2017-01-10,(활)왕게,노르웨이,중,kg,199,1,"56,600"
2017-01-10,(활)왕게,러시아,중,kg,"1,274",1,"37,800"
2017-01-11,(선)왕게,노르웨이,중,kg,190,1,"15,000"
2017-01-11,(선)왕게,러시아,중,kg,228,1,"18,000"
2017-01-11,(활)왕게,노르웨이,중,kg,438,1,"57,500"
2017-01-11,(활)왕게,러시아,중,kg,77,1,"61,200"
2017-01-12,(선)왕게,노르웨이,중,kg,576,1,"8,900"
2017-01-12,(선)왕게,러시아,중,kg,82,1,"18,800"
2017-01-12,(활)왕게,노르웨이,중,kg,"1,072",1,"45,900"
2017-01-12,(활)왕게,러시아,중,kg,"1,261",1,"55,700"
2017-01-13,(선)왕게,노르웨이,중,kg,88,1,"15,600"
2017-01-13,(선)왕게,러시아,중,kg,29,1,"17,300"
2017-01-13,(활)왕게,노르웨이,중,kg,273,1,"48,800"
2017-01-13,(활)왕게,러시아,중,kg,376,1,"56,500"
2017-01-14,(선)왕게,노르웨이,중,kg,35,1,"25,600"
2017-01-14,(활)왕게,노르웨이,중,kg,771,1,"54,000"
2017-01-14,(활)왕게,러시아,중,kg,574,1,"61,400"
2017-01-16,(선)왕게,노르웨이,중,kg,84,1,"14,400"
2017-01-16,(활)왕게,노르웨이,중,kg,375,1,"51,200"
2017-01-16,(활)왕게,러시아,중,kg,55,1,"61,500"
2017-01-17,(선)왕게,노르웨이,중,kg,538,1,"8,800"
2017-01-17,(선)왕게,러시아,중,kg,10,1,"20,900"
2017-01-17,(활)왕게,노르웨이,중,kg,311,1,"47,000"
2017-01-18,(선)왕게,노르웨이,중,kg,110,1,"14,500"
2017-01-18,(선)왕게,러시아,중,kg,21,1,"20,700"
2017-01-18,(활)왕게,노르웨이,중,kg,440,1,"55,100"
2017-01-18,(활)왕게,러시아,중,kg,78,1,"55,600"
2017-01-19,(선)왕게,노르웨이,중,kg,343,1,"14,300"
2017-01-19,(선)왕게,러시아,중,kg,146,1,"25,200"
2017-01-19,(활)왕게,노르웨이,중,kg,652,1,"57,800"
2017-01-20,(선)왕게,노르웨이,중,kg,140,1,"10,500"
2017-01-20,(선)왕게,러시아,중,kg,27,1,"30,600"
2017-01-20,(활)왕게,노르웨이,중,kg,"1,018",1,"56,600"
2017-01-20,(활)왕게,러시아,중,kg,306,1,"60,600"
2017-01-21,(냉)왕게,러시아,중,kg,76,1,"6,800"
2017-01-21,(냉)왕게,러시아,중,가구,102,1,"7,000"
2017-01-21,(선)왕게,러시아,중,kg,11,1,"11,200"
2017-01-21,(활)왕게,노르웨이,중,kg,215,1,"60,500"
2017-01-21,(활)왕게,러시아,중,kg,"1,119",1,"60,000"
2017-01-23,(선)왕게,러시아,중,kg,31,1,"16,700"
2017-01-23,(활)왕게,노르웨이,중,kg,174,1,"53,600"
2017-01-23,(활)왕게,러시아,중,kg,"1,811",1,"54,500"
2017-01-24,(냉)왕게,노르웨이,중,kg,124,1,"19,700"
2017-01-24,(선)왕게,노르웨이,중,kg,156,1,"16,600"
2017-01-24,(선)왕게,러시아,중,kg,63,1,"18,900"
2017-01-24,(활)왕게,노르웨이,중,kg,523,1,"58,400"
2017-01-24,(활)왕게,러시아,중,kg,583,1,"57,300"
2017-01-25,(선)왕게,노르웨이,중,kg,276,1,"14,200"
2017-01-25,(선)왕게,러시아,중,kg,54,1,"16,100"
2017-01-25,(활)왕게,노르웨이,중,kg,"1,044",1,"39,000"
2017-01-25,(활)왕게,러시아,중,kg,"1,079",1,"46,700"
2017-01-26,(냉)왕게,노르웨이,중,kg,96,1,"11,100"
2017-01-26,(선)왕게,노르웨이,중,kg,103,1,"22,100"
2017-01-26,(선)왕게,러시아,중,kg,36,1,"27,200"
2017-01-26,(활)왕게,노르웨이,중,kg,692,1,"40,800"
2017-01-26,(활)왕게,러시아,중,kg,"1,095",1,"53,000"
2017-01-27,(냉)왕게,러시아,중,kg,575,1,"23,100"
2017-01-27,(선)왕게,노르웨이,중,kg,272,1,"19,900"
2017-01-27,(선)왕게,러시아,중,kg,5,1,"35,000"
2017-01-27,(활)왕게,노르웨이,중,kg,689,1,"51,200"
2017-01-27,(활)왕게,러시아,중,kg,"1,017",1,"61,000"
2017-02-01,(냉)왕게,노르웨이,중,kg,180,1,"11,200"
2017-02-01,(선)왕게,노르웨이,중,kg,407,1,"10,800"
2017-02-01,(활)왕게,노르웨이,중,kg,822,1,"42,600"
2017-02-01,(활)왕게,러시아,중,kg,"1,182",1,"50,900"
2017-02-02,(선)왕게,노르웨이,중,kg,606,1,"10,500"
2017-02-02,(선)왕게,러시아,중,kg,538,1,"20,200"
2017-02-02,(활)왕게,노르웨이,중,kg,319,1,"42,300"
2017-02-02,(활)왕게,러시아,중,kg,"1,210",1,"46,800"
2017-02-03,(선)왕게,노르웨이,중,kg,130,1,"16,400"
2017-02-03,(선)왕게,러시아,중,kg,8,1,"16,900"
2017-02-03,(활)왕게,노르웨이,중,kg,"1,018",1,"45,200"
2017-02-03,(활)왕게,러시아,중,kg,584,1,"52,300"
2017-02-04,(선)왕게,러시아,중,kg,109,1,"24,800"
2017-02-04,(활)왕게,노르웨이,중,kg,536,1,"44,600"
2017-02-04,(활)왕게,러시아,중,kg,"1,591",1,"45,200"
