amount,weight,avg_price,yyyy,mm,dd,origin_부산(기장),origin_삼천포,origin_안흥,origin_제주도,origin_포항,standard_18미,standard_20미,standard_28미,standard_중
1,3,10.0,40000,2017,1,2,1,0,0,0,0,0,1,0,0
2,652,15.0,31800,2017,1,2,1,0,0,0,0,0,1,0,0
3,70,20.0,45000,2017,1,2,1,0,0,0,0,0,1,0,0
7,71,15.0,10000,2017,1,2,1,0,0,0,0,0,0,1,0
8,80,20.0,14000,2017,1,2,1,0,0,0,0,0,0,1,0
12,3,10.0,45000,2017,1,2,1,0,0,0,0,0,0,0,1
15,6,13.0,20800,2017,1,2,0,0,0,1,0,0,0,0,1
20,288,15.0,37800,2017,1,3,1,0,0,0,0,0,1,0,0
23,431,15.0,14500,2017,1,3,1,0,0,0,0,0,0,1,0
25,1,15.0,5000,2017,1,3,1,0,0,0,0,0,0,0,1
26,14,13.0,20100,2017,1,3,0,0,0,1,0,0,0,0,1
31,432,15.0,37900,2017,1,4,1,0,0,0,0,0,1,0,0
35,140,15.0,13000,2017,1,4,1,0,0,0,0,0,0,0,1
39,693,15.0,35900,2017,1,5,1,0,0,0,0,0,1,0,0
51,438,15.0,33500,2017,1,6,1,0,0,0,0,0,1,0,0
58,2,13.0,8500,2017,1,6,0,0,0,1,0,0,0,0,1
63,28,10.0,40000,2017,1,7,1,0,0,0,0,0,1,0,0
64,276,15.0,35100,2017,1,7,1,0,0,0,0,0,1,0,0
66,159,15.0,12600,2017,1,7,1,0,0,0,0,0,0,1,0
84,26,15.0,60000,2017,1,11,1,0,0,0,0,0,1,0,0
87,66,15.0,27000,2017,1,11,1,0,0,0,0,0,0,1,0
90,377,15.0,53900,2017,1,12,1,0,0,0,0,0,1,0,0
92,250,15.0,29000,2017,1,12,1,0,0,0,0,0,0,1,0
99,74,15.0,86200,2017,1,13,1,0,0,0,0,0,1,0,0
101,1,10.0,10000,2017,1,13,1,0,0,0,0,0,0,0,1
110,80,15.0,35000,2017,1,14,1,0,0,0,0,0,0,1,0
112,27,13.0,75000,2017,1,14,0,0,0,1,0,0,1,0,0
116,32,15.0,80000,2017,1,16,1,0,0,0,0,0,1,0,0
120,270,15.0,30000,2017,1,16,1,0,0,0,0,0,0,1,0
125,4,13.0,22000,2017,1,16,0,0,0,1,0,0,1,0,0
146,4,13.0,26000,2017,1,17,0,0,0,1,0,0,1,0,0
148,79,15.0,55000,2017,1,18,1,0,0,0,0,0,1,0,0
150,130,15.0,40000,2017,1,18,1,0,0,0,0,0,0,1,0
154,19,15.0,50000,2017,1,18,1,0,0,0,0,0,0,0,1
157,3,13.0,30000,2017,1,18,0,0,0,1,0,0,0,0,1
164,20,15.0,80000,2017,1,19,1,0,0,0,0,1,0,0,0
165,164,15.0,56000,2017,1,19,1,0,0,0,0,0,1,0,0
168,190,15.0,19500,2017,1,19,1,0,0,0,0,0,0,1,0
178,50,15.0,70000,2017,1,20,1,0,0,0,0,1,0,0,0
179,196,15.0,54300,2017,1,20,1,0,0,0,0,0,1,0,0
183,28,15.0,22000,2017,1,20,1,0,0,0,0,0,0,1,0
188,312,15.0,12000,2017,1,20,1,0,0,0,0,0,0,0,1
189,50,13.0,30000,2017,1,20,0,0,0,1,0,0,0,0,1
194,93,15.0,51000,2017,1,21,1,0,0,0,0,0,1,0,0
199,12,15.0,5000,2017,1,21,1,0,0,0,0,0,0,0,1
200,1,13.0,3000,2017,1,21,0,0,0,1,0,0,0,0,1
201,38,15.0,65000,2017,1,23,1,0,0,0,0,1,0,0,0
202,226,15.0,55000,2017,1,23,1,0,0,0,0,0,1,0,0
203,464,15.0,26100,2017,1,23,1,0,0,0,0,0,0,1,0
211,27,15.0,70000,2017,1,24,1,0,0,0,0,1,0,0,0
212,3,15.0,70000,2017,1,24,1,0,0,0,0,0,1,0,0
220,47,15.0,75000,2017,1,25,1,0,0,0,0,0,1,0,0
223,30,15.0,70000,2017,1,26,1,0,0,0,0,0,1,0,0
226,2,13.0,30000,2017,1,26,0,0,0,1,0,0,0,0,1
269,250,15.0,51600,2017,2,6,1,0,0,0,0,1,0,0,0
271,781,15.0,40900,2017,2,6,1,0,0,0,0,0,1,0,0
274,478,15.0,20700,2017,2,6,1,0,0,0,0,0,0,1,0
284,5,15.0,10000,2017,2,6,1,0,0,0,0,0,0,0,1
296,262,15.0,50300,2017,2,7,1,0,0,0,0,0,1,0,0
304,439,15.0,48200,2017,2,8,1,0,0,0,0,0,1,0,0
306,186,15.0,25000,2017,2,8,1,0,0,0,0,0,0,1,0
314,180,15.0,47000,2017,2,9,1,0,0,0,0,0,1,0,0
317,128,15.0,35000,2017,2,9,1,0,0,0,0,0,0,1,0
323,12,15.0,75000,2017,2,10,1,0,0,0,0,1,0,0,0
324,41,15.0,70000,2017,2,10,1,0,0,0,0,0,1,0,0
372,17,15.0,80000,2017,2,18,1,0,0,0,0,1,0,0,0
373,158,15.0,70000,2017,2,18,1,0,0,0,0,0,1,0,0
375,41,15.0,80000,2017,2,20,1,0,0,0,0,1,0,0,0
376,115,15.0,70000,2017,2,20,1,0,0,0,0,0,1,0,0
379,36,15.0,25000,2017,2,20,0,0,0,0,1,0,0,0,1
399,158,15.0,60400,2017,2,21,1,0,0,0,0,1,0,0,0
409,101,15.0,57000,2017,2,22,1,0,0,0,0,0,1,0,0
418,2,15.0,60000,2017,2,23,1,0,0,0,0,0,1,0,0
430,80,15.0,61600,2017,2,24,1,0,0,0,0,1,0,0,0
431,148,15.0,50600,2017,2,24,1,0,0,0,0,0,1,0,0
433,156,15.0,21400,2017,2,24,1,0,0,0,0,0,0,1,0
439,10,13.0,60000,2017,2,24,0,0,0,1,0,1,0,0,0
451,128,15.0,40000,2017,2,27,1,0,0,0,0,0,0,1,0
461,152,15.0,60900,2017,2,28,1,0,0,0,0,1,0,0,0
463,133,15.0,50000,2017,2,28,1,0,0,0,0,0,0,1,0
472,88,15.0,64700,2017,3,1,1,0,0,0,0,1,0,0,0
473,48,15.0,65000,2017,3,1,1,0,0,0,0,0,1,0,0
474,68,15.0,70000,2017,3,2,1,0,0,0,0,1,0,0,0
475,265,15.0,60700,2017,3,2,1,0,0,0,0,0,1,0,0
486,118,15.0,40500,2017,3,3,1,0,0,0,0,1,0,0,0
487,834,15.0,41700,2017,3,3,1,0,0,0,0,0,1,0,0
493,237,15.0,37300,2017,3,4,1,0,0,0,0,0,1,0,0
503,757,15.0,30700,2017,3,6,1,0,0,0,0,0,1,0,0
515,172,15.0,32000,2017,3,7,1,0,0,0,0,0,1,0,0
518,69,15.0,25000,2017,3,7,1,0,0,0,0,0,0,1,0
526,40,15.0,35000,2017,3,8,1,0,0,0,0,1,0,0,0
527,378,15.0,28400,2017,3,8,1,0,0,0,0,0,1,0,0
535,36,15.0,55000,2017,3,9,1,0,0,0,0,0,1,0,0
561,49,15.0,65000,2017,3,11,1,0,0,0,0,0,1,0,0
563,126,15.0,10000,2017,3,11,0,0,0,0,1,0,0,0,1
607,14,15.0,70000,2017,3,15,0,1,0,0,0,1,0,0,0
626,9,15.0,80000,2017,3,17,1,0,0,0,0,1,0,0,0
627,56,15.0,70000,2017,3,17,1,0,0,0,0,0,1,0,0
630,1,15.0,35000,2017,3,17,1,0,0,0,0,0,0,0,1
639,30,15.0,60000,2017,3,18,1,0,0,0,0,1,0,0,0
640,341,15.0,53200,2017,3,18,1,0,0,0,0,0,1,0,0
657,290,15.0,56500,2017,3,20,1,0,0,0,0,0,1,0,0
659,230,15.0,35000,2017,3,20,1,0,0,0,0,0,0,1,0
663,3,13.0,33000,2017,3,20,0,0,0,1,0,0,1,0,0
665,14,15.0,20000,2017,3,20,0,0,0,0,1,0,0,0,1
670,319,15.0,52300,2017,3,21,1,0,0,0,0,1,0,0,0
671,217,15.0,43200,2017,3,21,1,0,0,0,0,0,1,0,0
674,299,15.0,24100,2017,3,21,1,0,0,0,0,0,0,1,0
688,50,15.0,40000,2017,3,22,1,0,0,0,0,1,0,0,0
689,32,15.0,50000,2017,3,22,1,0,0,0,0,0,1,0,0
711,38,15.0,70000,2017,3,25,1,0,0,0,0,0,1,0,0
715,18,15.0,25000,2017,3,25,0,0,0,0,1,0,0,0,1
726,37,15.0,65000,2017,3,27,1,0,0,0,0,1,0,0,0
727,73,15.0,68800,2017,3,27,1,0,0,0,0,0,1,0,0
729,54,15.0,17000,2017,3,27,0,0,0,0,1,0,0,0,1
747,9,15.0,80000,2017,3,28,1,0,0,0,0,1,0,0,0
748,69,15.0,73200,2017,3,28,1,0,0,0,0,0,1,0,0
789,19,15.0,100000,2017,4,1,1,0,0,0,0,1,0,0,0
790,2,15.0,100000,2017,4,1,1,0,0,0,0,0,1,0,0
798,7,15.0,90000,2017,4,3,1,0,0,0,0,1,0,0,0
799,60,15.0,80000,2017,4,3,1,0,0,0,0,0,1,0,0
832,33,15.0,100000,2017,4,5,1,0,0,0,0,0,1,0,0
846,75,15.0,90000,2017,4,6,1,0,0,0,0,1,0,0,0
847,96,15.0,80000,2017,4,6,1,0,0,0,0,0,1,0,0
860,73,15.0,80000,2017,4,7,1,0,0,0,0,1,0,0,0
861,53,15.0,80000,2017,4,7,1,0,0,0,0,0,1,0,0
866,8,13.0,36000,2017,4,7,0,0,0,1,0,1,0,0,0
892,1,13.0,25000,2017,4,11,0,0,0,1,0,0,0,0,1
925,14,15.0,20000,2017,4,14,0,0,0,0,1,0,0,0,1
947,28,13.0,52000,2017,4,18,0,0,0,1,0,0,1,0,0
950,32,13.0,34800,2017,4,18,0,0,0,1,0,0,0,0,1
951,20,15.0,18000,2017,4,18,0,0,0,0,1,0,1,0,0
974,6,13.0,90000,2017,4,20,0,0,0,1,0,1,0,0,0
975,3,13.0,30000,2017,4,20,0,0,0,1,0,0,1,0,0
987,29,13.0,34100,2017,4,21,0,0,0,1,0,0,0,0,1
997,5,13.0,30000,2017,4,22,0,0,0,1,0,0,1,0,0
999,18,13.0,60000,2017,4,22,0,0,0,1,0,0,0,0,1
1004,23,10.0,30700,2017,4,24,0,0,0,1,0,0,1,0,0
1035,70,13.0,26700,2017,4,27,0,0,0,1,0,0,1,0,0
1048,1,13.0,20000,2017,4,28,0,0,0,1,0,0,0,0,1
1059,3,13.0,60000,2017,5,1,0,0,0,1,0,0,1,0,0
1071,13,13.0,100000,2017,5,3,0,0,0,1,0,1,0,0,0
1083,47,13.0,69400,2017,5,5,0,0,0,1,0,0,1,0,0
1084,15,13.0,53300,2017,5,5,0,0,0,1,0,0,0,0,1
1085,43,13.0,80000,2017,5,6,0,0,0,1,0,0,1,0,0
1089,1,5.0,30000,2017,5,6,0,0,0,1,0,0,0,0,1
1090,1,10.0,50000,2017,5,6,0,0,0,1,0,0,0,0,1
1091,2,13.0,50000,2017,5,6,0,0,0,1,0,0,0,0,1
1095,1,13.0,42000,2017,5,8,0,0,0,1,0,1,0,0,0
1115,88,15.0,14900,2017,5,9,0,0,0,0,1,0,0,0,1
1118,9,15.0,15000,2017,5,10,0,0,0,0,1,0,0,0,1
1128,23,13.0,15000,2017,5,11,0,0,0,0,1,0,0,0,1
1143,36,15.0,35000,2017,5,12,0,0,0,1,0,0,0,1,0
1145,33,13.0,15000,2017,5,12,0,0,0,0,1,0,0,0,1
1150,25,15.0,65000,2017,5,13,0,0,0,1,0,1,0,0,0
1151,20,15.0,25000,2017,5,13,0,0,0,1,0,0,0,1,0
1152,41,15.0,13000,2017,5,13,0,0,0,0,1,0,0,0,1
1154,60,15.0,60000,2017,5,15,0,0,0,1,0,1,0,0,0
1155,45,15.0,45000,2017,5,15,0,0,0,1,0,0,1,0,0
1156,77,15.0,25000,2017,5,15,0,0,0,1,0,0,0,1,0
1158,83,15.0,17000,2017,5,15,0,0,0,0,1,1,0,0,0
1167,20,15.0,60000,2017,5,16,0,0,0,1,0,1,0,0,0
1168,100,15.0,25000,2017,5,16,0,0,0,1,0,0,0,1,0
1171,197,15.0,13000,2017,5,16,0,0,0,0,1,0,0,0,1
1181,100,15.0,50000,2017,5,17,0,0,0,1,0,1,0,0,0
1183,105,15.0,25000,2017,5,17,0,0,0,1,0,0,0,1,0
1187,7,15.0,15000,2017,5,17,0,0,0,0,1,1,0,0,0
1188,20,15.0,15000,2017,5,17,0,0,0,0,1,0,0,0,1
1195,70,15.0,45000,2017,5,18,0,0,0,1,0,1,0,0,0
1196,160,15.0,35000,2017,5,18,0,0,0,1,0,0,1,0,0
1199,68,15.0,25000,2017,5,18,0,0,0,1,0,0,0,1,0
1201,1,15.0,27000,2017,5,18,0,0,0,1,0,0,0,0,1
1202,1,15.0,10000,2017,5,18,0,0,0,0,1,0,0,0,1
1208,26,15.0,60000,2017,5,22,0,0,0,1,0,1,0,0,0
1211,55,15.0,30000,2017,5,22,0,0,0,1,0,0,0,1,0
1213,9,15.0,88900,2017,5,22,0,0,0,1,0,0,0,0,1
1214,51,15.0,15000,2017,5,22,0,0,0,0,1,0,0,0,1
1226,15,15.0,70000,2017,5,23,0,0,0,1,0,0,1,0,0
1227,75,15.0,40000,2017,5,23,0,0,0,1,0,0,0,1,0
1230,6,15.0,25000,2017,5,23,0,0,0,0,1,0,0,0,1
