amount,weight,avg_price,yyyy,mm,dd,origin_군산,origin_대천,origin_완도,standard_12/13미,standard_13/14미,standard_14/15미,standard_15/16미
2,145,1.0,37700,2017,1,2,0,0,1,1,0,0,0
4,124,1.0,36100,2017,1,2,0,0,1,0,1,0,0
5,99,1.0,35000,2017,1,2,0,0,1,0,0,1,0
7,33,1.0,35700,2017,1,2,0,0,1,0,0,0,1
23,181,1.0,34900,2017,1,3,0,0,1,1,0,0,0
25,124,1.0,34100,2017,1,3,0,0,1,0,1,0,0
26,101,1.0,33100,2017,1,3,0,0,1,0,0,1,0
28,100,1.0,32300,2017,1,3,0,0,1,0,0,0,1
45,144,1.0,33900,2017,1,4,0,0,1,1,0,0,0
46,109,1.0,33900,2017,1,4,0,0,1,0,1,0,0
48,111,1.0,32800,2017,1,4,0,0,1,0,0,1,0
49,87,1.0,31100,2017,1,4,0,0,1,0,0,0,1
64,311,1.0,30300,2017,1,5,0,0,1,1,0,0,0
65,323,1.0,29900,2017,1,5,0,0,1,0,1,0,0
66,166,1.0,29400,2017,1,5,0,0,1,0,0,1,0
67,187,1.0,29700,2017,1,5,0,0,1,0,0,0,1
85,152,1.0,31000,2017,1,6,0,0,1,1,0,0,0
87,88,1.0,30500,2017,1,6,0,0,1,0,1,0,0
89,65,1.0,30000,2017,1,6,0,0,1,0,0,1,0
90,88,1.0,30300,2017,1,6,0,0,1,0,0,0,1
103,152,1.0,31600,2017,1,7,0,0,1,1,0,0,0
105,98,1.0,31900,2017,1,7,0,0,1,0,1,0,0
107,66,1.0,31700,2017,1,7,0,0,1,0,0,1,0
109,88,1.0,31500,2017,1,7,0,0,1,0,0,0,1
124,144,1.0,30600,2017,1,9,0,0,1,1,0,0,0
126,144,1.0,29700,2017,1,9,0,0,1,0,1,0,0
128,99,1.0,28700,2017,1,9,0,0,1,0,0,1,0
130,144,1.0,28300,2017,1,9,0,0,1,0,0,0,1
144,233,1.0,30200,2017,1,10,0,0,1,1,0,0,0
146,164,1.0,28400,2017,1,10,0,0,1,0,1,0,0
148,65,1.0,27200,2017,1,10,0,0,1,0,0,1,0
150,155,1.0,27500,2017,1,10,0,0,1,0,0,0,1
164,142,1.0,30500,2017,1,11,0,0,1,1,0,0,0
166,111,1.0,28900,2017,1,11,0,0,1,0,1,0,0
168,66,1.0,28700,2017,1,11,0,0,1,0,0,1,0
170,122,1.0,27800,2017,1,11,0,0,1,0,0,0,1
183,118,1.0,32100,2017,1,12,0,0,1,1,0,0,0
184,34,1.0,29700,2017,1,12,0,0,1,0,1,0,0
186,22,1.0,30000,2017,1,12,0,0,1,0,0,1,0
188,108,1.0,27900,2017,1,12,0,0,1,0,0,0,1
205,146,1.0,30300,2017,1,13,0,0,1,1,0,0,0
207,113,1.0,28300,2017,1,13,0,0,1,0,1,0,0
209,109,1.0,27700,2017,1,13,0,0,1,0,0,1,0
211,86,1.0,28000,2017,1,13,0,0,1,0,0,0,1
224,155,1.0,31000,2017,1,14,0,0,1,1,0,0,0
225,133,1.0,29700,2017,1,14,0,0,1,0,1,0,0
226,78,1.0,27800,2017,1,14,0,0,1,0,0,1,0
227,110,1.0,27900,2017,1,14,0,0,1,0,0,0,1
244,160,1.0,29400,2017,1,16,0,0,1,1,0,0,0
246,89,1.0,28200,2017,1,16,0,0,1,0,1,0,0
248,101,1.0,27900,2017,1,16,0,0,1,0,0,1,0
250,99,1.0,26400,2017,1,16,0,0,1,0,0,0,1
266,212,1.0,30000,2017,1,17,0,0,1,1,0,0,0
267,177,1.0,27700,2017,1,17,0,0,1,0,1,0,0
268,155,1.0,27300,2017,1,17,0,0,1,0,0,1,0
269,155,1.0,27600,2017,1,17,0,0,1,0,0,0,1
284,146,1.0,31200,2017,1,18,0,0,1,1,0,0,0
285,114,1.0,30300,2017,1,18,0,0,1,0,1,0,0
286,66,1.0,29800,2017,1,18,0,0,1,0,0,1,0
287,167,1.0,27900,2017,1,18,0,0,1,0,0,0,1
304,181,1.0,32900,2017,1,19,0,0,1,1,0,0,0
305,154,1.0,30500,2017,1,19,0,0,1,0,1,0,0
306,154,1.0,29400,2017,1,19,0,0,1,0,0,1,0
307,109,1.0,29600,2017,1,19,0,0,1,0,0,0,1
324,120,1.0,32200,2017,1,20,0,0,1,1,0,0,0
326,120,1.0,30600,2017,1,20,0,0,1,0,1,0,0
328,65,1.0,30200,2017,1,20,0,0,1,0,0,1,0
329,108,1.0,29100,2017,1,20,0,0,1,0,0,0,1
344,98,1.0,31700,2017,1,21,0,0,1,1,0,0,0
346,187,1.0,29900,2017,1,21,0,0,1,0,1,0,0
348,119,1.0,29900,2017,1,21,0,0,1,0,0,1,0
350,175,1.0,28400,2017,1,21,0,0,1,0,0,0,1
364,168,1.0,35100,2017,1,23,0,0,1,1,0,0,0
365,154,1.0,30600,2017,1,23,0,0,1,0,1,0,0
366,160,1.0,29800,2017,1,23,0,0,1,0,0,1,0
367,166,1.0,28900,2017,1,23,0,0,1,0,0,0,1
384,363,1.0,30900,2017,1,24,0,0,1,1,0,0,0
385,224,1.0,28800,2017,1,24,0,0,1,0,1,0,0
386,155,1.0,28200,2017,1,24,0,0,1,0,0,1,0
387,212,1.0,27100,2017,1,24,0,0,1,0,0,0,1
404,261,1.0,31700,2017,1,25,0,0,1,1,0,0,0
405,131,1.0,30500,2017,1,25,0,0,1,0,1,0,0
406,77,1.0,29300,2017,1,25,0,0,1,0,0,1,0
407,153,1.0,28500,2017,1,25,0,0,1,0,0,0,1
424,473,1.0,29100,2017,1,26,0,0,1,1,0,0,0
425,186,1.0,28100,2017,1,26,0,0,1,0,1,0,0
426,181,1.0,27300,2017,1,26,0,0,1,0,0,1,0
427,234,1.0,26500,2017,1,26,0,0,1,0,0,0,1
443,213,1.0,31100,2017,1,27,0,0,1,1,0,0,0
444,132,1.0,30600,2017,1,27,0,0,1,0,1,0,0
445,133,1.0,28100,2017,1,27,0,0,1,0,0,1,0
446,234,1.0,26800,2017,1,27,0,0,1,0,0,0,1
464,327,1.0,32400,2017,2,1,0,0,1,1,0,0,0
465,210,1.0,30200,2017,2,1,0,0,1,0,1,0,0
466,121,1.0,29400,2017,2,1,0,0,1,0,0,1,0
467,325,1.0,28200,2017,2,1,0,0,1,0,0,0,1
483,298,1.0,28400,2017,2,2,0,0,1,1,0,0,0
484,174,1.0,28200,2017,2,2,0,0,1,0,1,0,0
485,131,1.0,26600,2017,2,2,0,0,1,0,0,1,0
487,254,1.0,26300,2017,2,2,0,0,1,0,0,0,1
504,264,1.0,28600,2017,2,3,0,0,1,1,0,0,0
506,163,1.0,28200,2017,2,3,0,0,1,0,1,0,0
507,132,1.0,26900,2017,2,3,0,0,1,0,0,1,0
509,153,1.0,25900,2017,2,3,0,0,1,0,0,0,1
524,163,1.0,30800,2017,2,4,0,0,1,1,0,0,0
525,175,1.0,28500,2017,2,4,0,0,1,0,1,0,0
526,155,1.0,28400,2017,2,4,0,0,1,0,0,1,0
527,154,1.0,27400,2017,2,4,0,0,1,0,0,0,1
544,174,1.0,30400,2017,2,6,0,0,1,1,0,0,0
545,132,1.0,29300,2017,2,6,0,0,1,0,1,0,0
546,120,1.0,28200,2017,2,6,0,0,1,0,0,1,0
547,151,1.0,27200,2017,2,6,0,0,1,0,0,0,1
564,121,1.0,30200,2017,2,7,0,0,1,1,0,0,0
565,87,1.0,29700,2017,2,7,0,0,1,0,1,0,0
567,145,1.0,28100,2017,2,7,0,0,1,0,0,1,0
569,142,1.0,26900,2017,2,7,0,0,1,0,0,0,1
584,153,1.0,31100,2017,2,8,0,0,1,1,0,0,0
585,99,1.0,28300,2017,2,8,0,0,1,0,1,0,0
586,200,1.0,27300,2017,2,8,0,0,1,0,0,1,0
588,154,1.0,26100,2017,2,8,0,0,1,0,0,0,1
604,141,1.0,30400,2017,2,9,0,0,1,1,0,0,0
605,117,1.0,28300,2017,2,9,0,0,1,0,1,0,0
606,180,1.0,26800,2017,2,9,0,0,1,0,0,1,0
608,163,1.0,26500,2017,2,9,0,0,1,0,0,0,1
624,164,1.0,29500,2017,2,10,0,0,1,1,0,0,0
625,110,1.0,28800,2017,2,10,0,0,1,0,1,0,0
626,214,1.0,26600,2017,2,10,0,0,1,0,0,1,0
628,190,1.0,26000,2017,2,10,0,0,1,0,0,0,1
646,176,1.0,29400,2017,2,11,0,0,1,1,0,0,0
647,92,1.0,28600,2017,2,11,0,0,1,0,1,0,0
648,110,1.0,27500,2017,2,11,0,0,1,0,0,1,0
650,176,1.0,26200,2017,2,11,0,0,1,0,0,0,1
664,174,1.0,29200,2017,2,13,0,0,1,1,0,0,0
665,144,1.0,27600,2017,2,13,0,0,1,0,1,0,0
666,133,1.0,26600,2017,2,13,0,0,1,0,0,1,0
667,174,1.0,25000,2017,2,13,0,0,1,0,0,0,1
684,195,1.0,29300,2017,2,14,0,0,1,1,0,0,0
685,245,1.0,27200,2017,2,14,0,0,1,0,1,0,0
686,114,1.0,26800,2017,2,14,0,0,1,0,0,1,0
687,123,1.0,25500,2017,2,14,0,0,1,0,0,0,1
704,201,1.0,29200,2017,2,15,0,0,1,1,0,0,0
705,190,1.0,27700,2017,2,15,0,0,1,0,1,0,0
706,110,1.0,26700,2017,2,15,0,0,1,0,0,1,0
707,142,1.0,26100,2017,2,15,0,0,1,0,0,0,1
724,78,1.0,30700,2017,2,16,0,0,1,1,0,0,0
725,56,1.0,30200,2017,2,16,0,0,1,0,1,0,0
726,90,1.0,28800,2017,2,16,0,0,1,0,0,1,0
727,122,1.0,27600,2017,2,16,0,0,1,0,0,0,1
744,153,1.0,29600,2017,2,17,0,0,1,1,0,0,0
746,132,1.0,27400,2017,2,17,0,0,1,0,1,0,0
747,111,1.0,26400,2017,2,17,0,0,1,0,0,1,0
748,167,1.0,26500,2017,2,17,0,0,1,0,0,0,1
765,170,1.0,30200,2017,2,18,0,0,1,1,0,0,0
766,100,1.0,29700,2017,2,18,0,0,1,0,1,0,0
767,56,1.0,30200,2017,2,18,0,0,1,0,0,1,0
768,173,1.0,28700,2017,2,18,0,0,1,0,0,0,1
785,313,1.0,28200,2017,2,20,0,0,1,1,0,0,0
787,187,1.0,27800,2017,2,20,0,0,1,0,1,0,0
789,156,1.0,26700,2017,2,20,0,0,1,0,0,1,0
790,193,1.0,26100,2017,2,20,0,0,1,0,0,0,1
805,178,1.0,27200,2017,2,21,0,0,1,1,0,0,0
806,362,1.0,25200,2017,2,21,0,0,1,0,1,0,0
808,124,1.0,26400,2017,2,21,0,0,1,0,0,1,0
809,258,1.0,25300,2017,2,21,0,0,1,0,0,0,1
825,98,1.0,28600,2017,2,22,0,0,1,1,0,0,0
827,174,1.0,26800,2017,2,22,0,0,1,0,1,0,0
829,126,1.0,24800,2017,2,22,0,0,1,0,0,1,0
830,131,1.0,25700,2017,2,22,0,0,1,0,0,0,1
847,166,1.0,26400,2017,2,23,0,0,1,1,0,0,0
849,178,1.0,25300,2017,2,23,0,0,1,0,1,0,0
