날짜,어종,산지,규격,포장,수량,중량,평균가
2017-01-02,(냉)고등어,노르웨이,중,S/P,6,10,"62,500"
2017-01-02,(선)고등어,부산(기장),20미,S/P,3,10,"40,000"
2017-01-02,(선)고등어,부산(기장),20미,S/P,652,15,"31,800"
2017-01-02,(선)고등어,부산(기장),20미,S/P,70,20,"45,000"
2017-01-02,(선)고등어,부산(기장),22미,S/P,2,15,"10,000"
2017-01-02,(선)고등어,부산(기장),24미,S/P,48,15,"27,500"
2017-01-02,(선)고등어,부산(기장),26미,S/P,10,15,"13,000"
2017-01-02,(선)고등어,부산(기장),28미,S/P,71,15,"10,000"
2017-01-02,(선)고등어,부산(기장),28미,S/P,80,20,"14,000"
2017-01-02,(선)고등어,부산(기장),30미,S/P,"1,659",15,"11,600"
2017-01-02,(선)고등어,부산(기장),34미,S/P,971,15,"8,000"
2017-01-02,(선)고등어,부산(기장),35미,S/P,6,15,"7,000"
2017-01-02,(선)고등어,부산(기장),중,S/P,3,10,"45,000"
2017-01-02,(선)고등어,삼천포,22미,S/P,68,15,"35,000"
2017-01-02,(선)고등어,삼천포,30미,S/P,683,15,"13,000"
2017-01-02,(선)고등어,제주도,중,S/P,6,13,"20,800"
2017-01-02,(선)고등어,죽변,35미,S/P,20,15,"5,000"
2017-01-03,(냉)고등어,노르웨이,300/500,CT/(BT),20,20,"48,300"
2017-01-03,(냉)고등어,노르웨이,400/600,CT/(BT),40,20,"60,000"
2017-01-03,(냉)염고등어,노르웨이,10손,CT/(BT),50,6,"27,900"
2017-01-03,(선)고등어,부산(기장),20미,S/P,288,15,"37,800"
2017-01-03,(선)고등어,부산(기장),24미,S/P,200,15,"24,000"
2017-01-03,(선)고등어,부산(기장),26미,S/P,350,15,"14,700"
2017-01-03,(선)고등어,부산(기장),28미,S/P,431,15,"14,500"
2017-01-03,(선)고등어,부산(기장),34미,S/P,120,15,"9,000"
2017-01-03,(선)고등어,부산(기장),중,S/P,1,15,"5,000"
2017-01-03,(선)고등어,제주도,중,S/P,14,13,"20,100"
2017-01-03,(선)점고등어,부산(기장),26미,S/P,318,15,"10,000"
2017-01-04,(냉)고등어,노르웨이,300/500,CT/(BT),50,20,"52,500"
2017-01-04,(냉)염고등어,노르웨이,10손,CT/(BT),100,6,"27,900"
2017-01-04,(냉)염고등어,노르웨이,8손,CT/(BT),10,7,"27,900"
2017-01-04,(선)고등어,부산(기장),20미,S/P,432,15,"37,900"
2017-01-04,(선)고등어,부산(기장),26미,S/P,237,15,"17,000"
2017-01-04,(선)고등어,부산(기장),30미,S/P,370,15,"9,800"
2017-01-04,(선)고등어,부산(기장),35미,S/P,100,15,"14,000"
2017-01-04,(선)고등어,부산(기장),중,S/P,140,15,"13,000"
2017-01-05,(냉)고등어,기타(국내),중,CT/(BT),5,10,"25,000"
2017-01-05,(냉)고등어,노르웨이,400/600,CT/(BT),20,20,"65,000"
2017-01-05,(냉)염고등어,노르웨이,10손,CT/(BT),45,6,"27,900"
2017-01-05,(선)고등어,부산(기장),20미,S/P,693,15,"35,900"
2017-01-05,(선)고등어,부산(기장),22미,S/P,167,15,"25,000"
2017-01-05,(선)고등어,부산(기장),26미,S/P,321,15,"17,300"
2017-01-05,(선)고등어,부산(기장),30미,S/P,612,15,"13,000"
2017-01-05,(선)고등어,부산(기장),34미,S/P,150,15,"10,000"
2017-01-05,(선)고등어,부산(기장),38미,S/P,100,15,"10,000"
2017-01-05,(선)고등어,부산(기장),40미,S/P,50,15,"10,000"
2017-01-05,(선)고등어,후포,중,S/P,5,15,"3,000"
2017-01-06,(냉)고등어,기타(국내),20미,CT/(BT),5,10,"40,000"
2017-01-06,(냉)고등어,기타(국내),24미,CT/(BT),20,10,"25,000"
2017-01-06,(냉)고등어,노르웨이,400/600,CT/(BT),30,20,"55,000"
2017-01-06,(냉)염고등어,기타(국내),24손,CT/(BT),50,8.5,"18,000"
