날짜,어종,산지,규격,포장,수량,중량,평균가
2017-01-02,(냉)암꽃게,태안,중,S/P,1,7,"45,000"
2017-01-02,(냉)암꽃게,태안,중,S/P,10,9,"55,000"
2017-01-02,(냉)암꽃게,태안,중,S/P,8,10,"95,000"
2017-01-02,(선)수꽃게,서산,중,S/P,1,7,"50,000"
2017-01-02,(선)수꽃게,서산,중,S/P,2,8,"60,000"
2017-01-02,(선)수꽃게,인천,중,S/P,34,5,"34,000"
2017-01-02,(선)암꽃게,군산,중,kg,3,1,"18,000"
2017-01-02,(활)수꽃게,서산,중,kg,136,1,"15,100"
2017-01-02,(활)수꽃게,태안,대,kg,160,1,"18,800"
2017-01-02,(활)수꽃게,태안,소,kg,172,1,"14,100"
2017-01-03,(냉)수꽃게,인천,중,가구,10,30,"150,000"
2017-01-03,(냉)수꽃게,인천,중,가구,8,40,"150,000"
2017-01-03,(선)암꽃게,인천,중,S/P,24,5,"36,000"
2017-01-03,(활)수꽃게,고흥,중,kg,16,1,"17,000"
2017-01-03,(활)수꽃게,진도,대,kg,65,1,"24,200"
2017-01-03,(활)수꽃게,진도,중,kg,50,1,"17,000"
2017-01-03,(활)암꽃게,고흥,대,kg,60,1,"33,000"
2017-01-03,(활)암꽃게,고흥,중,kg,47,1,"20,000"
2017-01-03,(활)암꽃게,진도,대,kg,200,1,"32,300"
2017-01-03,(활)암꽃게,태안,중,kg,8,1,"20,000"
2017-01-04,(냉)수꽃게,강화,중,c/s(상자),70,15,"60,000"
2017-01-04,(냉)암꽃게,태안,3단,CT/(BT),124,10,"45,000"
2017-01-04,(냉)암꽃게,태안,중,S/P,90,10,"45,000"
2017-01-04,(선)수꽃게,안흥,중,c/s(상자),1,15,"15,000"
2017-01-04,(활)수꽃게,진도,대,kg,17,1,"22,000"
2017-01-04,(활)수꽃게,태안,소,kg,6,1,"18,000"
2017-01-04,(활)암꽃게,고흥,중,kg,10,1,"23,000"
2017-01-04,(활)암꽃게,진도,대,kg,220,1,"28,700"
2017-01-04,(활)암꽃게,진도,특대,kg,110,1,"34,400"
2017-01-04,(활)암꽃게,태안,대,kg,4,1,"30,000"
2017-01-05,(냉)수꽃게,인천,중,가구,3,40,"150,000"
2017-01-05,(냉)암꽃게,인천,중,S/P,13,9,"40,000"
2017-01-05,(선)암꽃게,고흥,중,S/P,1,8,"70,000"
2017-01-05,(활)암꽃게,고흥,대,kg,8,1,"17,000"
2017-01-05,(활)암꽃게,진도,대,kg,130,1,"32,900"
2017-01-05,(활)암꽃게,진도,중,kg,50,1,"9,000"
2017-01-06,(냉)수꽃게,태안,5단,CT/(BT),112,10,"60,000"
2017-01-06,(활)수꽃게,진도,대,kg,40,1,"26,000"
2017-01-06,(활)수꽃게,진도,중,kg,30,1,"22,300"
2017-01-06,(활)암꽃게,고흥,대,kg,96,1,"31,000"
2017-01-06,(활)암꽃게,고흥,중,kg,69,1,"25,600"
2017-01-06,(활)암꽃게,진도,대,kg,205,1,"27,800"
2017-01-06,(활)암꽃게,진도,특대,kg,220,1,"33,100"
2017-01-07,(냉)수꽃게,서산,4단,CT/(BT),50,10,"60,000"
2017-01-07,(냉)암꽃게,태안,3단,CT/(BT),62,10,"70,000"
2017-01-07,(활)수꽃게,진도,대,kg,20,1,"25,000"
2017-01-07,(활)수꽃게,진도,중,kg,6,1,"25,000"
2017-01-07,(활)암꽃게,진도,대,kg,50,1,"35,500"
2017-01-07,(활)암꽃게,진도,특대,kg,100,1,"37,900"
2017-01-09,(활)암꽃게,진도,대,kg,70,1,"38,000"
2017-01-10,(냉)수꽃게,태안,3단,CT/(BT),56,10,"70,000"
2017-01-10,(활)수꽃게,진도,중,kg,26,1,"21,300"
2017-01-10,(활)암꽃게,진도,대,kg,250,1,"34,400"
2017-01-10,(활)암꽃게,진도,중,kg,10,1,"28,000"
2017-01-11,(냉)수꽃게,강화,중,c/s(상자),30,15,"60,000"
2017-01-11,(활)암꽃게,진도,대,kg,100,1,"37,000"
2017-01-12,(냉)수꽃게,태안,4단,CT/(BT),307,10,"65,000"
2017-01-12,(냉)수꽃게,태안,중,S/P,4,10,"100,000"
2017-01-12,(냉)암꽃게,안흥,대,S/P,50,10,"100,000"
2017-01-12,(냉)암꽃게,안흥,중,S/P,50,8,"50,000"
2017-01-13,(냉)수꽃게,서산,5단,CT/(BT),50,10,"60,000"
2017-01-13,(냉)수꽃게,태안,4단,CT/(BT),79,10,"60,000"
2017-01-13,(냉)수꽃게,태안,중,S/P,70,8,"47,800"
2017-01-13,(냉)수꽃게,태안,중,S/P,20,10,"90,000"
2017-01-13,(냉)암꽃게,태안,대,S/P,30,10,"135,000"
2017-01-13,(냉)암꽃게,태안,중,S/P,12,10,"75,000"
2017-01-14,(냉)수꽃게,태안,중,S/P,84,10,"80,000"
2017-01-14,(냉)암꽃게,태안,3단,CT/(BT),56,10,"80,000"
2017-01-14,(냉)암꽃게,태안,대,S/P,25,10,"168,800"
2017-01-14,(냉)암꽃게,태안,중,S/P,20,10,"79,300"
2017-01-14,(활)수꽃게,진도,대,kg,13,1,"28,000"
2017-01-14,(활)암꽃게,진도,대,kg,130,1,"35,700"
2017-01-14,(활)암꽃게,진도,중,kg,40,1,"27,000"
2017-01-14,(활)암꽃게,진도,특대,kg,120,1,"40,000"
2017-01-16,(냉)수꽃게,태안,중,S/P,75,10,"83,400"
2017-01-16,(냉)암꽃게,인천,중,S/P,15,9,"50,000"
2017-01-16,(냉)암꽃게,태안,대,S/P,56,10,"228,900"
2017-01-16,(냉)암꽃게,태안,중,S/P,42,10,"102,900"
2017-01-17,(냉)수꽃게,인천,중,가구,20,40,"150,000"
2017-01-18,(냉)수꽃게,태안,3단,CT/(BT),213,10,"75,000"
2017-01-18,(냉)수꽃게,태안,5단,CT/(BT),184,10,"60,000"
2017-01-18,(냉)수꽃게,태안,소,S/P,30,10,"78,700"
2017-01-18,(냉)암꽃게,태안,대,S/P,1,5,"80,000"
2017-01-18,(냉)암꽃게,태안,대,S/P,17,10,"190,000"
2017-01-18,(냉)암꽃게,태안,중,S/P,1,6,"55,000"
2017-01-18,(냉)암꽃게,태안,중,S/P,82,10,"107,700"
2017-01-19,(냉)암꽃게,서산,4단,CT/(BT),112,10,"70,000"
2017-01-19,(냉)암꽃게,서산,파치,S/P,25,8,"25,000"
2017-01-19,(냉)암꽃게,인천,중,S/P,17,9,"42,000"
2017-01-20,(냉)수꽃게,태안,4단,CT/(BT),108,10,"70,000"
2017-01-20,(냉)수꽃게,태안,소,S/P,50,10,"70,000"
2017-01-20,(냉)암꽃게,태안,대,S/P,15,10,"146,700"
2017-01-20,(냉)암꽃게,태안,소소,S/P,14,10,"55,000"
2017-01-20,(냉)암꽃게,태안,중,S/P,134,10,"80,200"
2017-01-20,(활)수꽃게,태안,대중,kg,20,1,"28,000"
2017-01-21,(냉)수꽃게,서산,3단,CT/(BT),42,10,"70,000"
2017-01-21,(냉)수꽃게,진도,대,kg,12,5,"35,000"
2017-01-21,(냉)수꽃게,진도,대,kg,1,6,"30,000"
2017-01-21,(냉)수꽃게,진도,대,kg,1,7,"30,000"
