날짜,어종,산지,규격,포장,수량,중량,평균가
2017-01-02,(선)은갈치,제주도,10미,S/P,73,3.5,87200
2017-01-02,(선)은갈치,제주도,10미,S/P,29,4.0,99500
2017-01-02,(선)은갈치,제주도,10미,S/P,41,4.5,123700
2017-01-02,(선)은갈치,제주도,10미,S/P,88,5.0,143600
2017-01-03,(선)은갈치,제주도,10미,S/P,72,3.5,83100
2017-01-03,(선)은갈치,제주도,10미,S/P,1,4.0,115000
2017-01-03,(선)은갈치,제주도,10미,S/P,59,4.5,122800
2017-01-03,(선)은갈치,제주도,10미,S/P,43,5.0,150900
2017-01-04,(선)은갈치,제주도,10미,S/P,68,3.5,83500
2017-01-04,(선)은갈치,제주도,10미,S/P,8,4.0,110000
2017-01-04,(선)은갈치,제주도,10미,S/P,57,4.5,116500
2017-01-04,(선)은갈치,제주도,10미,S/P,50,5.0,148500
2017-01-05,(선)은갈치,제주도,10미,S/P,67,3.5,85700
2017-01-05,(선)은갈치,제주도,10미,S/P,10,4.0,106500
2017-01-05,(선)은갈치,제주도,10미,S/P,54,4.5,118900
2017-01-05,(선)은갈치,제주도,10미,S/P,8,4.7,132000
2017-01-05,(선)은갈치,제주도,10미,S/P,19,5.0,149100
2017-01-05,(선)은갈치,제주도,10미,S/P,8,5.3,167000
2017-01-06,(선)은갈치,제주도,10미,S/P,53,3.5,85000
2017-01-06,(선)은갈치,제주도,10미,S/P,14,4.0,110000
2017-01-06,(선)은갈치,제주도,10미,S/P,69,4.5,116900
2017-01-06,(선)은갈치,제주도,10미,S/P,1,4.8,140000
2017-01-06,(선)은갈치,제주도,10미,S/P,55,5.0,159800
2017-01-06,(선)은갈치,제주도,10미,S/P,3,5.3,172000
2017-01-07,(선)은갈치,제주도,10미,S/P,49,3.5,87700
2017-01-07,(선)은갈치,제주도,10미,S/P,4,4.0,115000
2017-01-07,(선)은갈치,제주도,10미,S/P,37,4.5,123400
2017-01-07,(선)은갈치,제주도,10미,S/P,10,5.0,200000
2017-01-07,(선)은갈치,제주도,10미,S/P,1,7.5,280000
2017-01-09,(선)은갈치,제주도,10미,S/P,92,3.5,82500
2017-01-09,(선)은갈치,제주도,10미,S/P,22,4.0,99100
2017-01-09,(선)은갈치,제주도,10미,S/P,68,4.5,121400
2017-01-09,(선)은갈치,제주도,10미,S/P,39,5.0,169400
2017-01-09,(선)은갈치,제주도,10미,S/P,12,10.0,160000
2017-01-10,(선)은갈치,제주도,10미,S/P,31,3.5,97000
2017-01-10,(선)은갈치,제주도,10미,S/P,24,4.0,103300
2017-01-10,(선)은갈치,제주도,10미,S/P,45,4.5,136400
2017-01-10,(선)은갈치,제주도,10미,S/P,53,5.0,171800
2017-01-11,(선)은갈치,제주도,10미,S/P,75,3.5,85000
2017-01-11,(선)은갈치,제주도,10미,S/P,10,4.0,100000
2017-01-11,(선)은갈치,제주도,10미,S/P,35,4.5,137400
2017-01-11,(선)은갈치,제주도,10미,S/P,25,5.0,199200
2017-01-12,(선)은갈치,제주도,10미,S/P,45,3.5,93700
2017-01-12,(선)은갈치,제주도,10미,S/P,2,4.0,120000
2017-01-12,(선)은갈치,제주도,10미,S/P,33,4.5,152600
2017-01-12,(선)은갈치,제주도,10미,S/P,46,5.0,193500
2017-01-13,(선)은갈치,제주도,10미,S/P,33,3.5,103800
2017-01-13,(선)은갈치,제주도,10미,S/P,2,4.0,125000
2017-01-13,(선)은갈치,제주도,10미,S/P,14,4.5,146000
2017-01-13,(선)은갈치,제주도,10미,S/P,1,4.8,170000
2017-01-13,(선)은갈치,제주도,10미,S/P,16,5.0,199400
2017-01-13,(선)은갈치,제주도,10미,S/P,1,5.3,190000
2017-01-14,(선)은갈치,제주도,10미,S/P,50,3.5,103600
2017-01-14,(선)은갈치,제주도,10미,S/P,12,4.0,125000
2017-01-14,(선)은갈치,제주도,10미,S/P,34,4.5,155500
2017-01-14,(선)은갈치,제주도,10미,S/P,16,5.0,209100
2017-01-16,(선)은갈치,제주도,10미,S/P,58,3.5,104100
2017-01-16,(선)은갈치,제주도,10미,S/P,13,4.0,122000
2017-01-16,(선)은갈치,제주도,10미,S/P,30,4.5,157000
2017-01-16,(선)은갈치,제주도,10미,S/P,9,5.0,218100
2017-01-16,(선)은갈치,제주도,10미,S/P,3,5.2,230000
2017-01-17,(선)은갈치,제주도,10미,S/P,1,3.0,50000
2017-01-17,(선)은갈치,제주도,10미,S/P,52,3.5,93000
2017-01-17,(선)은갈치,제주도,10미,S/P,18,4.0,115000
2017-01-17,(선)은갈치,제주도,10미,S/P,28,4.5,152000
2017-01-17,(선)은갈치,제주도,10미,S/P,28,5.0,189600
2017-01-17,(선)은갈치,제주도,10미,S/P,1,6.0,230000
2017-01-18,(선)은갈치,제주도,10미,S/P,45,3.5,96000
2017-01-18,(선)은갈치,제주도,10미,S/P,19,4.0,152200
2017-01-18,(선)은갈치,제주도,10미,S/P,31,4.5,157300
2017-01-18,(선)은갈치,제주도,10미,S/P,47,5.0,212700
2017-01-18,(선)은갈치,제주도,10미,S/P,10,6.0,395100
2017-01-18,(선)은갈치,제주도,10미,S/P,9,8.0,404000
2017-01-19,(선)은갈치,제주도,10미,S/P,60,3.5,98000
2017-01-19,(선)은갈치,제주도,10미,S/P,2,4.0,130000
2017-01-19,(선)은갈치,제주도,10미,S/P,16,4.5,157800
2017-01-19,(선)은갈치,제주도,10미,S/P,63,5.0,183500
2017-01-20,(선)은갈치,제주도,10미,S/P,55,3.5,101100
2017-01-20,(선)은갈치,제주도,10미,S/P,10,4.0,140000
2017-01-20,(선)은갈치,제주도,10미,S/P,63,4.5,152200
2017-01-20,(선)은갈치,제주도,10미,S/P,26,5.0,191900
2017-01-20,(선)은갈치,제주도,10미,S/P,15,5.7,200000
2017-01-21,(선)은갈치,제주도,10미,S/P,58,3.5,104800
2017-01-21,(선)은갈치,제주도,10미,S/P,7,4.0,120000
2017-01-21,(선)은갈치,제주도,10미,S/P,31,4.5,141300
2017-01-21,(선)은갈치,제주도,10미,S/P,84,5.0,164600
2017-01-23,(선)은갈치,제주도,10미,S/P,41,3.5,107300
2017-01-23,(선)은갈치,제주도,10미,S/P,19,4.0,100000
2017-01-23,(선)은갈치,제주도,10미,S/P,32,4.5,145000
2017-01-23,(선)은갈치,제주도,10미,S/P,66,5.0,173800
2017-01-23,(선)은갈치,제주도,10미,S/P,1,8.0,25000
2017-01-24,(선)은갈치,제주도,10미,S/P,58,3.5,107700
2017-01-24,(선)은갈치,제주도,10미,S/P,4,4.0,127500
2017-01-24,(선)은갈치,제주도,10미,S/P,27,4.5,151100
2017-01-24,(선)은갈치,제주도,10미,S/P,46,5.0,187600
2017-01-24,(선)은갈치,제주도,10미,S/P,4,5.5,190000
2017-01-25,(선)은갈치,제주도,10미,S/P,55,3.5,112000
2017-01-25,(선)은갈치,제주도,10미,S/P,34,4.5,162400
2017-01-25,(선)은갈치,제주도,10미,S/P,67,5.0,190200
2017-01-26,(선)은갈치,제주도,10미,S/P,60,3.5,113400
2017-01-26,(선)은갈치,제주도,10미,S/P,20,4.0,120000
2017-01-26,(선)은갈치,제주도,10미,S/P,51,4.5,142200
2017-01-26,(선)은갈치,제주도,10미,S/P,103,5.0,174300
2017-01-27,(선)은갈치,제주도,10미,S/P,7,3.0,58000
2017-01-27,(선)은갈치,제주도,10미,S/P,30,3.5,120000
2017-01-27,(선)은갈치,제주도,10미,S/P,17,4.0,138800
2017-01-27,(선)은갈치,제주도,10미,S/P,24,4.5,179300
2017-01-27,(선)은갈치,제주도,10미,S/P,51,5.0,210400
2017-02-02,(선)은갈치,제주도,10미,S/P,8,4.0,116300
2017-02-02,(선)은갈치,제주도,10미,S/P,15,5.0,227300
2017-02-03,(선)은갈치,제주도,10미,S/P,6,3.5,127500
2017-02-03,(선)은갈치,제주도,10미,S/P,15,4.0,160000
2017-02-03,(선)은갈치,제주도,10미,S/P,21,4.5,173900
