date,species,origin,standard,unit,amount,weight,avg_price
2017-01-02,(선)가자미,속초,중,S/P,12,10.0,8000
2017-01-02,(선)가자미,속초,중,S/P,22,15.0,10000
2017-01-03,(선)가자미,군산,중,kg,12,1.0,3500
2017-01-03,(선)가자미,방어진,2미,c/s(상자),6,16.0,80000
2017-01-03,(선)가자미,방어진,3미,c/s(상자),3,16.0,80000
2017-01-03,(선)가자미,방어진,대,c/s(상자),21,16.0,108600
2017-01-03,(선)가자미,보령,3단,S/P,34,15.0,49900
2017-01-03,(선)가자미,보령,중,S/P,21,10.0,24800
2017-01-03,(선)가자미,보령,중,S/P,25,11.0,30000
2017-01-03,(선)가자미,부산(기장),중,S/P,2,10.0,130000
2017-01-03,(선)가자미,속초,중,S/P,35,10.0,8900
2017-01-03,(선)가자미,완도,중,kg,1,1.0,4000
2017-01-03,(선)가자미,제주도,대,S/P,23,14.0,129700
2017-01-03,(선)가자미,제주도,대,S/P,1,15.0,100000
2017-01-03,(선)가자미,포항,중,S/P,2,10.0,10000
2017-01-04,(선)가자미,방어진,3단,S/P,10,16.0,110000
2017-01-04,(선)가자미,방어진,6미,S/P,60,10.0,14000
2017-01-04,(선)가자미,방어진,중,S/P,6,16.0,110000
2017-01-04,(선)가자미,방어진,진통,S/P,2,16.0,110000
2017-01-04,(선)가자미,속초,중,S/P,10,10.0,10000
2017-01-04,(선)가자미,장항,15미,S/P,2,10.0,8000
2017-01-04,(선)가자미,장항,30미,S/P,12,10.0,8000
2017-01-04,(선)가자미,제주도,중,S/P,44,10.0,120900
2017-01-04,(선)가자미,제주도,중,S/P,18,15.0,108900
2017-01-04,(선)가자미,태안,중,kg,22,1.0,11300
2017-01-05,(선)가자미,방어진,2단,S/P,5,10.0,54000
2017-01-05,(선)가자미,방어진,2단,S/P,16,16.0,120000
2017-01-05,(선)가자미,방어진,중,S/P,5,16.0,120000
2017-01-05,(선)가자미,속초,중,S/P,23,10.0,8300
2017-01-06,(선)가자미,방어진,2단,S/P,10,15.0,77400
2017-01-06,(선)가자미,방어진,2단,S/P,10,16.0,120000
2017-01-06,(선)가자미,방어진,3단,S/P,2,16.0,120000
2017-01-06,(선)가자미,방어진,중,S/P,10,16.0,120000
2017-01-06,(선)가자미,방어진,중,c/s(상자),5,16.0,120000
2017-01-06,(선)가자미,방어진,진통,S/P,10,16.0,120000
2017-01-06,(선)가자미,속초,중,S/P,39,10.0,8700
2017-01-06,(선)가자미,제주도,대,S/P,11,15.0,120000
2017-01-06,(선)가자미,제주도,대,S/P,5,37.0,350000
2017-01-07,(선)가자미,목포,15미,S/P,3,10.0,7000
2017-01-07,(선)가자미,목포,20미,S/P,4,10.0,7000
2017-01-07,(선)가자미,방어진,1단,S/P,12,16.0,120000
2017-01-07,(선)가자미,방어진,2단,S/P,10,16.0,120000
2017-01-07,(선)가자미,방어진,대,S/P,5,16.0,120000
2017-01-07,(선)가자미,방어진,중,S/P,12,16.0,120000
