날짜,어종,산지,규격,포장,수량,중량,평균가
2017-01-02,(선)고등어,부산(기장),20미,S/P,3,10.0,40000
2017-01-02,(선)고등어,부산(기장),20미,S/P,652,15.0,31800
2017-01-02,(선)고등어,부산(기장),20미,S/P,70,20.0,45000
2017-01-03,(선)고등어,부산(기장),20미,S/P,288,15.0,37800
2017-01-04,(선)고등어,부산(기장),20미,S/P,432,15.0,37900
2017-01-05,(선)고등어,부산(기장),20미,S/P,693,15.0,35900
2017-01-06,(선)고등어,부산(기장),20미,S/P,438,15.0,33500
2017-01-07,(선)고등어,부산(기장),20미,S/P,28,10.0,40000
2017-01-07,(선)고등어,부산(기장),20미,S/P,276,15.0,35100
2017-01-11,(선)고등어,부산(기장),20미,S/P,26,15.0,60000
2017-01-12,(선)고등어,부산(기장),20미,S/P,377,15.0,53900
2017-01-13,(선)고등어,부산(기장),20미,S/P,74,15.0,86200
2017-01-16,(선)고등어,부산(기장),20미,S/P,32,15.0,80000
2017-01-18,(선)고등어,부산(기장),20미,S/P,79,15.0,55000
2017-01-19,(선)고등어,부산(기장),20미,S/P,164,15.0,56000
2017-01-20,(선)고등어,부산(기장),20미,S/P,196,15.0,54300
2017-01-21,(선)고등어,부산(기장),20미,S/P,93,15.0,51000
2017-01-23,(선)고등어,부산(기장),20미,S/P,226,15.0,55000
2017-01-24,(선)고등어,부산(기장),20미,S/P,3,15.0,70000
2017-01-25,(선)고등어,부산(기장),20미,S/P,47,15.0,75000
2017-01-26,(선)고등어,부산(기장),20미,S/P,30,15.0,70000
2017-02-06,(선)고등어,부산(기장),20미,S/P,781,15.0,40900
2017-02-07,(선)고등어,부산(기장),20미,S/P,262,15.0,50300
2017-02-08,(선)고등어,부산(기장),20미,S/P,439,15.0,48200
2017-02-09,(선)고등어,부산(기장),20미,S/P,180,15.0,47000
2017-02-10,(선)고등어,부산(기장),20미,S/P,41,15.0,70000
2017-02-18,(선)고등어,부산(기장),20미,S/P,158,15.0,70000
2017-02-20,(선)고등어,부산(기장),20미,S/P,115,15.0,70000
2017-02-22,(선)고등어,부산(기장),20미,S/P,101,15.0,57000
2017-02-23,(선)고등어,부산(기장),20미,S/P,2,15.0,60000
2017-02-24,(선)고등어,부산(기장),20미,S/P,148,15.0,50600
2017-03-01,(선)고등어,부산(기장),20미,S/P,48,15.0,65000
2017-03-02,(선)고등어,부산(기장),20미,S/P,265,15.0,60700
2017-03-03,(선)고등어,부산(기장),20미,S/P,834,15.0,41700
2017-03-04,(선)고등어,부산(기장),20미,S/P,237,15.0,37300
2017-03-06,(선)고등어,부산(기장),20미,S/P,757,15.0,30700
2017-03-07,(선)고등어,부산(기장),20미,S/P,172,15.0,32000
2017-03-08,(선)고등어,부산(기장),20미,S/P,378,15.0,28400
2017-03-09,(선)고등어,부산(기장),20미,S/P,36,15.0,55000
2017-03-11,(선)고등어,부산(기장),20미,S/P,49,15.0,65000
