날짜,어종,산지,규격,포장,수량,중량,평균가
2017-01-02,(활)넙치,제주도,중,kg,1648,1.0,15500
2017-01-03,(활)넙치,제주도,중,kg,1303,1.0,14500
2017-01-04,(활)넙치,제주도,중,kg,1228,1.0,12600
2017-01-05,(활)넙치,제주도,중,kg,933,1.0,15100
2017-01-06,(활)넙치,제주도,중,kg,1158,1.0,14300
2017-01-07,(활)넙치,제주도,중,kg,2965,1.0,13300
2017-01-09,(활)넙치,제주도,중,kg,686,1.0,15100
2017-01-10,(활)넙치,제주도,중,kg,2353,1.0,13100
2017-01-11,(활)넙치,제주도,중,kg,1356,1.0,14200
2017-01-12,(활)넙치,제주도,중,kg,789,1.0,15400
2017-01-13,(활)넙치,제주도,중,kg,2592,1.0,14100
2017-01-14,(활)넙치,제주도,중,kg,2014,1.0,15400
2017-01-16,(활)넙치,제주도,중,kg,812,1.0,15000
2017-01-17,(활)넙치,제주도,중,kg,1742,1.0,15400
2017-01-18,(활)넙치,제주도,중,kg,2221,1.0,14700
2017-01-19,(활)넙치,제주도,중,kg,2360,1.0,15000
2017-01-20,(활)넙치,제주도,중,kg,2672,1.0,14300
2017-01-21,(활)넙치,제주도,중,kg,1179,1.0,14200
2017-01-23,(활)넙치,제주도,중,kg,3333,1.0,13000
2017-01-24,(활)넙치,제주도,중,kg,1690,1.0,13900
2017-01-25,(활)넙치,제주도,중,kg,2432,1.0,13400
2017-01-26,(활)넙치,제주도,중,kg,1532,1.0,15400
2017-02-01,(활)넙치,제주도,중,kg,5168,1.0,15000
2017-02-02,(활)넙치,제주도,중,kg,2106,1.0,12900
2017-02-03,(활)넙치,제주도,중,kg,2135,1.0,14000
2017-02-04,(활)넙치,제주도,중,kg,3152,1.0,12300
2017-02-06,(활)넙치,제주도,중,kg,2698,1.0,13500
2017-02-07,(활)넙치,제주도,중,kg,1933,1.0,12600
2017-02-08,(활)넙치,제주도,중,kg,1093,1.0,13100
2017-02-09,(활)넙치,제주도,중,kg,2106,1.0,13000
2017-02-10,(활)넙치,제주도,중,kg,2639,1.0,12400
2017-02-11,(활)넙치,제주도,중,kg,1514,1.0,12900
2017-02-13,(활)넙치,제주도,중,kg,1894,1.0,14000
2017-02-14,(활)넙치,제주도,중,kg,1885,1.0,13200
2017-02-15,(활)넙치,제주도,중,kg,2592,1.0,13600
2017-02-16,(활)넙치,제주도,중,kg,2326,1.0,12700
2017-02-17,(활)넙치,제주도,중,kg,2611,1.0,13800
2017-02-18,(활)넙치,제주도,중,kg,4248,1.0,13200
2017-02-20,(활)넙치,제주도,중,kg,1985,1.0,13700
2017-02-21,(활)넙치,제주도,중,kg,793,1.0,14400
2017-02-22,(활)넙치,제주도,중,kg,3006,1.0,13300
2017-02-23,(활)넙치,제주도,중,kg,2711,1.0,12300
2017-02-24,(활)넙치,제주도,중,kg,1942,1.0,14000
2017-02-25,(활)넙치,제주도,중,kg,3586,1.0,12300
2017-02-27,(활)넙치,제주도,중,kg,1576,1.0,14000
2017-02-28,(활)넙치,제주도,중,kg,2036,1.0,13700
2017-03-01,(활)넙치,제주도,중,kg,2787,1.0,14100
2017-03-02,(활)넙치,제주도,중,kg,1801,1.0,14200
2017-03-03,(활)넙치,제주도,중,kg,570,1.0,17200
2017-03-04,(활)넙치,제주도,중,kg,1219,1.0,14000
2017-03-06,(활)넙치,제주도,중,kg,1332,1.0,13500
2017-03-07,(활)넙치,제주도,중,kg,1808,1.0,13400
2017-03-08,(활)넙치,제주도,중,kg,1943,1.0,12400
2017-03-09,(활)넙치,제주도,중,kg,1774,1.0,12900
2017-03-10,(활)넙치,제주도,중,kg,2237,1.0,14400
2017-03-11,(활)넙치,제주도,중,kg,2751,1.0,13400
2017-03-13,(활)넙치,제주도,중,kg,2313,1.0,11400
2017-03-14,(활)넙치,제주도,중,kg,940,1.0,14400
2017-03-15,(활)넙치,제주도,중,kg,1379,1.0,15800
2017-03-16,(활)넙치,제주도,중,kg,1422,1.0,14800
2017-03-17,(활)넙치,제주도,중,kg,1532,1.0,16000
2017-03-18,(활)넙치,제주도,중,kg,2410,1.0,15700
2017-03-20,(활)넙치,제주도,중,kg,2236,1.0,14000
2017-03-21,(활)넙치,제주도,중,kg,2124,1.0,14400
2017-03-22,(활)넙치,제주도,중,kg,1687,1.0,15400
2017-03-23,(활)넙치,제주도,중,kg,666,1.0,14200
2017-03-24,(활)넙치,제주도,중,kg,2296,1.0,14600
2017-03-25,(활)넙치,제주도,중,kg,3018,1.0,15500
2017-03-27,(활)넙치,제주도,중,kg,1447,1.0,14800
2017-03-28,(활)넙치,제주도,중,kg,1520,1.0,15500
2017-03-29,(활)넙치,제주도,중,kg,1415,1.0,14900
2017-03-30,(활)넙치,제주도,중,kg,1639,1.0,14300
2017-03-31,(활)넙치,제주도,중,kg,2156,1.0,15100
2017-04-01,(활)넙치,제주도,중,kg,2903,1.0,14700
2017-04-03,(활)넙치,제주도,중,kg,840,1.0,15800
2017-04-04,(활)넙치,제주도,중,kg,2473,1.0,13000
2017-04-05,(활)넙치,제주도,중,kg,1948,1.0,11400
2017-04-06,(활)넙치,제주도,중,kg,1564,1.0,13400
2017-04-07,(활)넙치,제주도,중,kg,1272,1.0,13800
2017-04-08,(활)넙치,제주도,중,kg,2275,1.0,14800
2017-04-10,(활)넙치,제주도,중,kg,697,1.0,13800
2017-04-11,(활)넙치,제주도,중,kg,1170,1.0,15400
2017-04-15,(활)넙치,제주도,중,kg,2602,1.0,14800
2017-04-19,(활)넙치,제주도,중,kg,1298,1.0,12600
2017-04-20,(활)넙치,제주도,중,kg,502,1.0,14300
2017-04-21,(활)넙치,제주도,중,kg,1273,1.0,14500
2017-04-22,(활)넙치,제주도,중,kg,1239,1.0,14800
2017-04-24,(활)넙치,제주도,중,kg,1006,1.0,14400
2017-04-25,(활)넙치,제주도,중,kg,968,1.0,12600
2017-04-26,(활)넙치,제주도,중,kg,658,1.0,13700
2017-04-27,(활)넙치,제주도,중,kg,754,1.0,16000
2017-04-28,(활)넙치,제주도,중,kg,854,1.0,12200
2017-04-29,(활)넙치,제주도,중,kg,1519,1.0,13900
