날짜,어종,산지,규격,포장,수량,중량,평균가
2017-01-17,(선)갑오징어,군산,10미,box,11,10.0,30000
2017-01-19,(선)갑오징어,군산,10미,box,18,10.0,20000
2017-01-20,(선)갑오징어,군산,10미,box,13,10.0,20000
2017-01-21,(선)갑오징어,군산,10미,box,14,10.0,20000
2017-01-23,(선)갑오징어,군산,10미,box,18,10.0,20000
2017-01-24,(선)갑오징어,군산,10미,box,17,10.0,20000
2017-01-25,(선)갑오징어,군산,10미,box,19,10.0,20000
2017-01-26,(선)갑오징어,군산,10미,box,15,10.0,20000
2017-01-27,(선)갑오징어,군산,10미,box,14,10.0,20000
2017-02-02,(선)갑오징어,군산,10미,box,16,10.0,32900
2017-02-03,(선)갑오징어,군산,10미,box,7,10.0,32000
2017-02-07,(선)갑오징어,군산,10미,box,13,10.0,20000
2017-02-08,(선)갑오징어,군산,10미,box,14,10.0,20000
2017-02-24,(선)갑오징어,군산,10미,box,12,10.0,32400
2017-02-28,(선)갑오징어,군산,10미,box,15,10.0,31100
2017-03-01,(선)갑오징어,군산,10미,box,15,10.0,31000
2017-03-02,(선)갑오징어,군산,10미,box,13,10.0,31000
2017-03-04,(선)갑오징어,군산,10미,box,5,10.0,30000
2017-03-08,(선)갑오징어,군산,10미,box,10,10.0,42500
2017-03-10,(선)갑오징어,군산,10미,box,11,10.0,31000
2017-03-11,(선)갑오징어,군산,10미,box,10,10.0,33100
2017-03-13,(선)갑오징어,군산,10미,box,10,10.0,32200
2017-03-17,(선)갑오징어,군산,10미,box,7,10.0,35000
2017-03-18,(선)갑오징어,군산,10미,box,30,10.0,31500
2017-03-20,(선)갑오징어,군산,10미,box,18,10.0,33100
2017-03-28,(선)갑오징어,군산,10미,box,5,10.0,32200
2017-04-01,(선)갑오징어,군산,10미,box,5,10.0,6700
2017-04-05,(선)갑오징어,군산,10미,box,20,10.0,27300
2017-04-06,(선)갑오징어,군산,10미,box,19,10.0,31500
2017-04-07,(선)갑오징어,군산,10미,box,23,10.0,32800
2017-04-19,(선)갑오징어,군산,10미,box,14,10.0,35000
2017-05-29,(선)갑오징어,군산,10미,box,6,10.0,38100
2017-05-30,(선)갑오징어,군산,10미,box,14,10.0,41500
2017-06-01,(선)갑오징어,군산,10미,box,25,10.0,25800
2017-06-06,(선)갑오징어,군산,10미,box,5,10.0,25600
2017-06-07,(선)갑오징어,군산,10미,box,7,10.0,25500
2017-06-10,(선)갑오징어,군산,10미,box,7,10.0,43700
2017-06-12,(선)갑오징어,군산,10미,box,26,10.0,35100
2017-06-13,(선)갑오징어,군산,10미,box,8,10.0,36300
2017-06-14,(선)갑오징어,군산,10미,box,2,10.0,34000
2017-06-17,(선)갑오징어,군산,10미,box,7,10.0,40000
2017-06-19,(선)갑오징어,군산,10미,box,8,10.0,35000
2017-06-20,(선)갑오징어,군산,10미,box,6,10.0,35000
2017-06-22,(선)갑오징어,군산,10미,box,24,10.0,37700
2017-06-23,(선)갑오징어,군산,10미,box,21,10.0,36400
2017-06-26,(선)갑오징어,군산,10미,box,17,10.0,40200
2017-06-27,(선)갑오징어,군산,10미,box,17,10.0,36000
2017-06-30,(선)갑오징어,군산,10미,box,20,10.0,34500
2017-07-04,(선)갑오징어,군산,10미,box,5,10.0,38200
2017-07-05,(선)갑오징어,군산,10미,box,9,10.0,35200
2017-07-06,(선)갑오징어,군산,10미,box,28,10.0,35400
2017-07-07,(선)갑오징어,군산,10미,box,20,10.0,36300
2017-07-08,(선)갑오징어,군산,10미,box,18,10.0,34300
2017-07-10,(선)갑오징어,군산,10미,box,25,10.0,35400
2017-07-11,(선)갑오징어,군산,10미,box,14,10.0,38600
2017-07-17,(선)갑오징어,군산,10미,box,14,10.0,38100
2017-07-19,(선)갑오징어,군산,10미,box,25,10.0,40200
2017-07-21,(선)갑오징어,군산,10미,box,16,10.0,34400
2017-07-22,(선)갑오징어,군산,10미,box,9,10.0,35700
2017-07-25,(선)갑오징어,군산,10미,box,10,10.0,36300
2017-07-28,(선)갑오징어,군산,10미,box,33,10.0,37300
2017-07-31,(선)갑오징어,군산,10미,box,19,10.0,34700
2017-08-02,(선)갑오징어,군산,10미,box,27,10.0,33400
2017-08-18,(선)갑오징어,군산,10미,box,9,10.0,34500
2017-11-01,(선)갑오징어,군산,10미,box,21,10.0,15000
2017-11-02,(선)갑오징어,군산,10미,box,23,10.0,15000
2017-11-03,(선)갑오징어,군산,10미,box,25,10.0,25000
