날짜,어종,산지,규격,포장,수량,중량,평균가
2017-01-02,(활)우럭,통영,중,kg,355,1.0,10500
2017-01-03,(활)우럭,통영,중,kg,121,1.0,11300
2017-01-06,(활)우럭,통영,중,kg,16,1.0,10500
2017-01-07,(활)우럭,통영,중,kg,333,1.0,9800
2017-01-09,(활)우럭,통영,중,kg,98,1.0,11900
2017-01-10,(활)우럭,통영,중,kg,97,1.0,7500
2017-01-11,(활)우럭,통영,중,kg,263,1.0,11300
2017-01-12,(활)우럭,통영,중,kg,42,1.0,8700
2017-01-13,(활)우럭,통영,중,kg,202,1.0,16100
2017-01-14,(활)우럭,통영,중,kg,596,1.0,12500
2017-01-16,(활)우럭,통영,중,kg,390,1.0,11100
2017-01-17,(활)우럭,통영,중,kg,27,1.0,11300
2017-01-18,(활)우럭,통영,중,kg,31,1.0,11200
2017-01-19,(활)우럭,통영,중,kg,50,1.0,9700
2017-01-20,(활)우럭,통영,중,kg,408,1.0,14400
2017-01-21,(활)우럭,통영,중,kg,159,1.0,11400
2017-01-23,(활)우럭,통영,중,kg,428,1.0,8800
2017-01-24,(활)우럭,통영,중,kg,79,1.0,10100
2017-01-25,(활)우럭,통영,중,kg,235,1.0,12700
2017-01-27,(활)우럭,통영,중,kg,183,1.0,12700
2017-02-01,(활)우럭,통영,중,kg,699,1.0,13200
2017-02-02,(활)우럭,통영,중,kg,568,1.0,7200
2017-02-03,(활)우럭,통영,중,kg,751,1.0,7800
2017-02-04,(활)우럭,통영,중,kg,363,1.0,8000
2017-02-06,(활)우럭,통영,중,kg,596,1.0,9600
2017-02-07,(활)우럭,통영,중,kg,229,1.0,7500
2017-02-08,(활)우럭,통영,중,kg,398,1.0,6500
2017-02-09,(활)우럭,통영,중,kg,188,1.0,7700
2017-02-10,(활)우럭,통영,중,kg,838,1.0,8400
2017-02-13,(활)우럭,통영,중,kg,756,1.0,7600
2017-02-14,(활)우럭,통영,중,kg,625,1.0,8700
2017-02-15,(활)우럭,통영,중,kg,399,1.0,7000
2017-02-16,(활)우럭,통영,중,kg,565,1.0,8300
2017-02-17,(활)우럭,통영,중,kg,843,1.0,7800
2017-02-18,(활)우럭,통영,중,kg,643,1.0,8300
2017-02-20,(활)우럭,통영,중,kg,534,1.0,8700
2017-02-21,(활)우럭,통영,중,kg,289,1.0,7500
2017-02-22,(활)우럭,통영,중,kg,187,1.0,7600
2017-02-23,(활)우럭,통영,중,kg,192,1.0,8100
2017-02-24,(활)우럭,통영,중,kg,517,1.0,9700
2017-02-25,(활)우럭,통영,중,kg,289,1.0,9700
2017-02-27,(활)우럭,통영,중,kg,262,1.0,9400
2017-02-28,(활)우럭,통영,중,kg,548,1.0,10200
2017-03-01,(활)우럭,통영,중,kg,349,1.0,10200
2017-03-02,(활)우럭,통영,중,kg,742,1.0,7600
2017-03-03,(활)우럭,통영,중,kg,492,1.0,7600
2017-03-04,(활)우럭,통영,중,kg,322,1.0,9200
2017-03-06,(활)우럭,통영,중,kg,377,1.0,7000
2017-03-07,(활)우럭,통영,중,kg,470,1.0,7500
2017-03-08,(활)우럭,통영,중,kg,172,1.0,5200
2017-03-09,(활)우럭,통영,중,kg,476,1.0,6800
2017-03-10,(활)우럭,통영,중,kg,350,1.0,6900
2017-03-11,(활)우럭,통영,중,kg,477,1.0,8700
2017-03-13,(활)우럭,통영,중,kg,325,1.0,8800
2017-03-14,(활)우럭,통영,중,kg,420,1.0,10500
2017-03-15,(활)우럭,통영,중,kg,3,1.0,17000
2017-03-16,(활)우럭,통영,중,kg,350,1.0,11100
2017-03-17,(활)우럭,통영,중,kg,172,1.0,7400
2017-03-18,(활)우럭,통영,중,kg,530,1.0,8100
2017-03-20,(활)우럭,통영,중,kg,636,1.0,5500
2017-03-21,(활)우럭,통영,중,kg,1768,1.0,4400
