날짜,어종,산지,규격,포장,수량,중량,평균가
2017-01-02,(활)왕게,러시아,중,kg,392,1.0,40500
2017-01-03,(활)왕게,러시아,중,kg,294,1.0,58900
2017-01-04,(활)왕게,러시아,중,kg,1242,1.0,54800
2017-01-05,(활)왕게,러시아,중,kg,756,1.0,53300
2017-01-06,(활)왕게,러시아,중,kg,2645,1.0,36500
2017-01-07,(활)왕게,러시아,중,kg,550,1.0,55200
2017-01-09,(활)왕게,러시아,중,kg,1308,1.0,40500
2017-01-10,(활)왕게,러시아,중,kg,1274,1.0,37800
2017-01-11,(활)왕게,러시아,중,kg,77,1.0,61200
2017-01-12,(활)왕게,러시아,중,kg,1261,1.0,55700
2017-01-13,(활)왕게,러시아,중,kg,376,1.0,56500
2017-01-14,(활)왕게,러시아,중,kg,574,1.0,61400
2017-01-16,(활)왕게,러시아,중,kg,55,1.0,61500
2017-01-18,(활)왕게,러시아,중,kg,78,1.0,55600
2017-01-20,(활)왕게,러시아,중,kg,306,1.0,60600
2017-01-21,(활)왕게,러시아,중,kg,1119,1.0,60000
2017-01-23,(활)왕게,러시아,중,kg,1811,1.0,54500
2017-01-24,(활)왕게,러시아,중,kg,583,1.0,57300
2017-01-25,(활)왕게,러시아,중,kg,1079,1.0,46700
2017-01-26,(활)왕게,러시아,중,kg,1095,1.0,53000
2017-01-27,(활)왕게,러시아,중,kg,1017,1.0,61000
2017-02-01,(활)왕게,러시아,중,kg,1182,1.0,50900
2017-02-02,(활)왕게,러시아,중,kg,1210,1.0,46800
2017-02-03,(활)왕게,러시아,중,kg,584,1.0,52300
2017-02-04,(활)왕게,러시아,중,kg,1591,1.0,45200
2017-02-06,(활)왕게,러시아,중,kg,752,1.0,47300
2017-02-07,(활)왕게,러시아,중,kg,1186,1.0,37500
2017-02-08,(활)왕게,러시아,중,kg,560,1.0,39300
2017-02-09,(활)왕게,러시아,중,kg,1461,1.0,35100
2017-02-10,(활)왕게,러시아,중,kg,409,1.0,37000
2017-02-11,(활)왕게,러시아,중,kg,868,1.0,42700
2017-02-14,(활)왕게,러시아,중,kg,2962,1.0,39000
2017-02-15,(활)왕게,러시아,중,kg,608,1.0,37600
2017-02-16,(활)왕게,러시아,중,kg,564,1.0,36600
2017-02-17,(활)왕게,러시아,중,kg,171,1.0,39600
2017-02-18,(활)왕게,러시아,중,kg,2138,1.0,36400
2017-02-20,(활)왕게,러시아,중,kg,904,1.0,36800
2017-02-21,(활)왕게,러시아,중,kg,251,1.0,33700
2017-02-22,(활)왕게,러시아,중,kg,1120,1.0,32900
2017-02-23,(활)왕게,러시아,중,kg,212,1.0,33000
2017-02-24,(활)왕게,러시아,중,kg,533,1.0,36700
2017-02-25,(활)왕게,러시아,중,kg,368,1.0,42100
2017-02-27,(활)왕게,러시아,중,kg,1221,1.0,37400
2017-02-28,(활)왕게,러시아,중,kg,387,1.0,42600
2017-03-01,(활)왕게,러시아,중,kg,967,1.0,42600
2017-03-03,(활)왕게,러시아,중,kg,2372,1.0,40100
2017-03-04,(활)왕게,러시아,중,kg,2276,1.0,32900
2017-03-06,(활)왕게,러시아,중,kg,394,1.0,40200
2017-03-07,(활)왕게,러시아,중,kg,758,1.0,36800
2017-03-08,(활)왕게,러시아,중,kg,1079,1.0,38500
2017-03-09,(활)왕게,러시아,중,kg,947,1.0,35300
2017-03-10,(활)왕게,러시아,중,kg,578,1.0,36400
2017-03-11,(활)왕게,러시아,중,kg,1388,1.0,36400
2017-03-13,(활)왕게,러시아,중,kg,593,1.0,42000
2017-03-14,(활)왕게,러시아,중,kg,732,1.0,41400
2017-03-15,(활)왕게,러시아,중,kg,1896,1.0,30600
2017-03-16,(활)왕게,러시아,중,kg,1010,1.0,32800
2017-03-17,(활)왕게,러시아,중,kg,1195,1.0,33500
2017-03-18,(활)왕게,러시아,중,kg,1155,1.0,37000
2017-03-20,(활)왕게,러시아,중,kg,265,1.0,41600
2017-03-21,(활)왕게,러시아,중,kg,1195,1.0,33000
2017-03-22,(활)왕게,러시아,중,kg,1497,1.0,23500
2017-03-23,(활)왕게,러시아,중,kg,67,1.0,33000
2017-03-24,(활)왕게,러시아,중,kg,827,1.0,35700
2017-03-25,(활)왕게,러시아,중,kg,1507,1.0,38700
2017-03-28,(활)왕게,러시아,중,kg,252,1.0,41300
2017-03-29,(활)왕게,러시아,중,kg,1314,1.0,40500
2017-03-30,(활)왕게,러시아,중,kg,732,1.0,42400
2017-03-31,(활)왕게,러시아,중,kg,614,1.0,38900
2017-04-01,(활)왕게,러시아,중,kg,1313,1.0,41000
2017-04-04,(활)왕게,러시아,중,kg,390,1.0,44800
2017-04-05,(활)왕게,러시아,중,kg,348,1.0,44600
2017-04-06,(활)왕게,러시아,중,kg,462,1.0,49900
2017-04-07,(활)왕게,러시아,중,kg,646,1.0,48600
2017-04-08,(활)왕게,러시아,중,kg,963,1.0,49600
2017-04-10,(활)왕게,러시아,중,kg,21,1.0,47300
2017-04-11,(활)왕게,러시아,중,kg,497,1.0,47600
2017-04-12,(활)왕게,러시아,중,kg,72,1.0,52500
2017-04-13,(활)왕게,러시아,중,kg,554,1.0,58400
2017-04-14,(활)왕게,러시아,중,kg,982,1.0,58900
2017-04-15,(활)왕게,러시아,중,kg,1236,1.0,57400
2017-04-17,(활)왕게,러시아,중,kg,583,1.0,31600
2017-04-19,(활)왕게,러시아,중,kg,651,1.0,55500
2017-04-21,(활)왕게,러시아,중,kg,749,1.0,58400
2017-04-22,(활)왕게,러시아,중,kg,95,1.0,65300
2017-04-25,(활)왕게,러시아,중,kg,64,1.0,65300
2017-04-26,(활)왕게,러시아,중,kg,117,1.0,69100
2017-04-27,(활)왕게,러시아,중,kg,1438,1.0,59500
2017-04-28,(활)왕게,러시아,중,kg,599,1.0,56700
2017-04-29,(활)왕게,러시아,중,kg,201,1.0,61900
2017-05-01,(활)왕게,러시아,중,kg,440,1.0,56800
2017-05-02,(활)왕게,러시아,중,kg,468,1.0,55000
2017-05-03,(활)왕게,러시아,중,kg,168,1.0,59600
2017-05-04,(활)왕게,러시아,중,kg,33,1.0,57200
2017-05-05,(활)왕게,러시아,중,kg,165,1.0,66900
2017-05-06,(활)왕게,러시아,중,kg,208,1.0,72800
2017-05-08,(활)왕게,러시아,중,kg,210,1.0,70500
2017-05-09,(활)왕게,러시아,중,kg,1064,1.0,61000
2017-05-10,(활)왕게,러시아,중,kg,756,1.0,47600
2017-05-11,(활)왕게,러시아,중,kg,81,1.0,41000
2017-05-12,(활)왕게,러시아,중,kg,203,1.0,52100
2017-05-13,(활)왕게,러시아,중,kg,1020,1.0,52900
2017-05-15,(활)왕게,러시아,중,kg,263,1.0,51200
2017-05-16,(활)왕게,러시아,중,kg,868,1.0,46000
