날짜,어종,산지,규격,포장,수량,중량,평균가
2022-01-03,(냉)가자미,러시아,중,PAN(펜),5,8,"55,000"
2022-01-03,(선)가자미,방어진,중,S/P,47,1,"15,000"
2022-01-03,(선)참가자미,방어진,중,kg,8,1,"18,000"
2022-01-03,(활)돌가자미,고성,중,kg,112,1,"13,500"
2022-01-04,(냉)가자미(H/G),러시아,150/200,CT/(BT),50,4.5,"14,900"
2022-01-04,(선)참가자미,목포,중,S/P,1,20,"100,000"
2022-01-04,(선)참가자미,목포,중,c/s(상자),6,1,"11,000"
2022-01-04,(선)참가자미,방어진,대,c/s(상자),25,1,"15,000"
2022-01-04,(선)참가자미,부산(기장),중,S/P,1,20,"150,000"
2022-01-04,(선)참가자미,완도,중,S/P,6,1,"11,000"
2022-01-05,(선)가자미,방어진,대,S/P,25,1,"15,000"
2022-01-05,(선)가자미,부산(기장),대,S/P,1,20,"142,000"
2022-01-05,(선)가자미,완도,중,kg,15,1,"25,100"
2022-01-05,(선)참가자미,목포,중,S/P,10,1,"15,000"
2022-01-05,(선)참가자미,부산(기장),중,S/P,3,20,"150,000"
2022-01-06,(선)참가자미,목포,대,c/s(상자),96,1,"11,900"
2022-01-06,(선)참가자미,목포,대,c/s(상자),10,20,"104,800"
2022-01-06,(선)참가자미,보령,대,S/P,40,1,"15,000"
2022-01-06,(선)참가자미,부산(기장),대,S/P,1,20,"130,000"
2022-01-06,(활)가자미,거진,중,kg,29,1,"6,400"
2022-01-07,(냉)가자미(H/G),러시아,100/150,CT/(BT),50,4.5,"14,600"
2022-01-07,(냉)가자미(H/G),러시아,150/200,CT/(BT),50,4.5,"14,900"
2022-01-07,(선)가자미,군산,중,S/P,35,1,"11,400"
2022-01-07,(선)가자미,군산,중,S/P,1,10,"60,000"
2022-01-07,(선)가자미,목포,중,S/P,43,20,"103,700"
2022-01-07,(선)가자미,부산(기장),중,S/P,2,20,"160,000"
2022-01-07,(선)가자미,안흥,중,c/s(상자),12,10,"24,000"
2022-01-07,(선)참가자미,군산,중,kg,25,1,"7,200"
2022-01-08,(선)참가자미,군산,중,S/P,2,10,"70,000"
2022-01-08,(선)참가자미,목포,대,S/P,7,10,"141,400"
2022-01-08,(선)참가자미,목포,중,S/P,4,10,"40,800"
2022-01-08,(선)참가자미,방어진,대,S/P,1,20,"139,000"
2022-01-08,(선)참가자미,부산(기장),중,S/P,2,10,"130,000"
2022-01-08,(활)돌가자미,부산(기장),중,kg,2,1,"50,000"
2022-01-10,(선)가자미,부산(기장),대,S/P,1,20,"197,000"
2022-01-10,(선)참가자미,목포,중,S/P,11,10,"83,200"
2022-01-10,(선)참가자미,보령,대,S/P,1,3.5,"50,000"
2022-01-10,(선)참가자미,보령,대,S/P,22,5,"50,000"
2022-01-10,(선)참가자미,보령,대,S/P,3,15,"140,000"
2022-01-10,(선)참가자미,보령,중,S/P,1,15,"150,000"
2022-01-10,(선)참가자미,보령,특대,S/P,1,15,"140,000"
2022-01-10,(선)참가자미,부산(기장),중,S/P,5,20,"150,000"
2022-01-11,(냉)가자미(H/G),러시아,100/150,CT/(BT),100,4.5,"14,400"
2022-01-11,(냉)참가자미,제주도,대,S/P,10,10,"80,000"
2022-01-11,(선)가자미,부산(기장),중,S/P,5,10,"172,000"
2022-01-11,(선)가자미,제주도,31미,S/P,1,11,"143,000"
2022-01-11,(선)참가자미,목포,대,S/P,38,1,"11,000"
2022-01-11,(선)참가자미,목포,대,S/P,8,15,"106,000"
2022-01-11,(선)참가자미,방어진,대,S/P,2,20,"270,000"
2022-01-11,(선)참가자미,완도,중,S/P,6,1,"13,000"
2022-01-11,(선)참가자미,제주도,대,S/P,27,1,"12,500"
2022-01-12,(선)가자미,군산,2단,c/s(상자),251,1,600
2022-01-12,(선)가자미,군산,대,c/s(상자),120,1,"1,500"
2022-01-12,(선)가자미,군산,중,c/s(상자),89,1,"1,300"
2022-01-12,(선)가자미,목포,대,S/P,3,15,"30,000"
2022-01-12,(선)가자미,부산(기장),대,S/P,6,15,"156,700"
2022-01-12,(선)참가자미,군산,대,S/P,7,20,"87,100"
2022-01-12,(선)참가자미,군산,중,c/s(상자),50,1,"5,400"
2022-01-12,(선)참가자미,목포,대,S/P,6,15,"135,000"
2022-01-13,(냉)가자미,제주도,중,S/P,5,10,"79,000"
2022-01-13,(냉)가자미(H/G),러시아,100/150,CT/(BT),100,4.1,"14,600"
2022-01-13,(냉)가자미(H/G),러시아,200/300,CT/(BT),50,4.5,"15,500"
2022-01-13,(선)가자미,군산,1단,c/s(상자),150,1,"1,400"
2022-01-13,(선)참가자미,군산,대,S/P,49,1,"1,100"
2022-01-13,(선)참가자미,군산,대,S/P,3,10,"90,000"
2022-01-13,(선)참가자미,부산(기장),중,S/P,3,15,"150,000"
2022-01-14,(선)가자미,장항,대,S/P,2,15,"30,000"
2022-01-14,(선)참가자미,보령,대,S/P,86,1,"1,000"
2022-01-14,(선)참가자미,보령,대,S/P,9,15,"119,400"
2022-01-17,(선)가자미,방어진,대,S/P,4,1,"6,000"
2022-01-17,(선)참가자미,방어진,대,S/P,1,15,"20,000"
2022-01-17,(선)참가자미,완도,중,S/P,7,1,"13,000"
2022-01-17,(활)가자미,통영,중,kg,64,1,"62,500"
2022-01-18,(냉)가자미(H/G),러시아,150/200,CT/(BT),100,4.5,"15,400"
