날짜,어종,산지,규격,포장,수량,중량,평균가
2022-01-03,(선)넙치,속초,중,S/P,27,1,"8,000"
2022-01-03,(선)넙치,인천,중,kg,25,1,"3,000"
2022-01-03,(선)넙치,태안,중,kg,6,1,"5,700"
2022-01-03,(활)넙치,고성,중,kg,122,1,"14,900"
2022-01-03,(활)넙치,목포,중,kg,28,1,"26,200"
2022-01-03,(활)넙치,안흥,중,kg,19,1,"12,000"
2022-01-03,(활)넙치,완도,중,kg,919,1,"23,200"
2022-01-03,(활)넙치,제주도,중,kg,823,1,"20,200"
2022-01-03,(활)넙치,중국,중,kg,152,1,"25,200"
2022-01-03,(활)넙치,태안,중,kg,97,1,"12,800"
2022-01-03,(활)넙치,통영,중,kg,81,1,"23,000"
2022-01-04,(선)넙치,남해,중,S/P,1,10,"5,000"
2022-01-04,(선)넙치,대부도,대,S/P,76,1,"3,800"
2022-01-04,(선)넙치,속초,대,S/P,4,1,"9,000"
2022-01-04,(선)넙치,태안,중,kg,2,1,"4,000"
2022-01-04,(활)넙치,대천,중,kg,24,1,"19,000"
2022-01-04,(활)넙치,안흥,중,kg,60,1,"11,800"
2022-01-04,(활)넙치,완도,중,kg,343,1,"23,400"
2022-01-04,(활)넙치,제주도,중,kg,"2,254",1,"18,300"
2022-01-04,(활)넙치,통영,중,kg,270,1,"20,300"
2022-01-05,(선)넙치,군산,중,S/P,14,1,"3,800"
2022-01-05,(선)넙치,태안,중,kg,5,1,"7,000"
2022-01-05,(활)넙치,거진,중,kg,55,1,"9,300"
2022-01-05,(활)넙치,부산(기장),중,kg,124,1,"21,700"
2022-01-05,(활)넙치,안흥,중,kg,57,1,"16,600"
2022-01-05,(활)넙치,완도,중,kg,972,1,"20,800"
2022-01-05,(활)넙치,제주도,중,kg,"1,531",1,"18,900"
2022-01-05,(활)넙치,통영,중,kg,33,1,"13,900"
2022-01-06,(선)넙치,군산,중,S/P,75,1,"2,800"
2022-01-06,(선)넙치,속초,대,S/P,10,1,"8,000"
2022-01-06,(선)넙치,태안,중,kg,11,1,"5,300"
2022-01-06,(활)넙치,대천,중,kg,48,1,"14,400"
2022-01-06,(활)넙치,안흥,중,kg,82,1,"12,200"
2022-01-06,(활)넙치,완도,중,kg,510,1,"23,100"
