날짜,어종,산지,규격,포장,수량,중량,평균가
2022-01-03,(냉)오징어,부산(기장),중,box,5,10,"85,000"
2022-01-03,(냉)오징어,죽변,20미,S/P,54,10,"53,000"
2022-01-03,(냉)오징어,중국,300/400,CT/(BT),5,8,"70,000"
2022-01-03,(선)갑오징어,군산,10미,box,1,10,"26,500"
2022-01-03,(선)갑오징어,군산,대,box,12,10,"27,300"
2022-01-03,(선)갑오징어,여수,중,box,20,5,"29,300"
2022-01-03,(선)대포오징어,강구,중,S/P,7,1,"18,000"
2022-01-03,(선)대포오징어,죽변,중,S/P,2,20,"149,500"
2022-01-03,(선)대포오징어,포항,대,S/P,17,1,"17,000"
2022-01-03,(선)대포오징어,포항,대,S/P,1,20,"100,000"
2022-01-03,(선)오징어,죽변,20미,S/P,32,8,"93,900"
2022-01-03,(선)오징어,죽변,중,box,5,10,"110,000"
2022-01-03,(선)오징어,통영,13미,S/P,1,8,"48,000"
2022-01-03,(선)오징어,통영,20미,S/P,16,8,"87,000"
2022-01-04,(냉)오징어,(원양)포클랜드,M,PAN(펜),60,18,"87,900"
2022-01-04,(냉)오징어,안흥,20미,S/P,20,8,"24,000"
2022-01-04,(선)갑오징어,군산,10미,box,2,10,"24,000"
2022-01-04,(선)갑오징어,군산,대,box,39,10,"18,300"
2022-01-04,(선)갑오징어,부산(기장),대,S/P,3,20,"100,000"
2022-01-04,(선)갑오징어,여수,중,box,15,5,"27,500"
2022-01-04,(선)오징어,방어진,20미,c/s(상자),50,10,"75,000"
2022-01-04,(선)오징어,부산(기장),20미,S/P,80,8,"76,200"
2022-01-04,(선)오징어,임원,20미,S/P,8,10,"80,000"
2022-01-04,(선)오징어,죽변,20미,S/P,19,8,"83,000"
2022-01-04,(선)오징어,통영,20미,S/P,29,10,"83,300"
2022-01-05,(냉)오징어,(원양)포클랜드,M,PAN(펜),40,18,"87,900"
2022-01-05,(냉)오징어,안흥,20미,S/P,27,10,"41,000"
2022-01-05,(냉)오징어,중국,10미,CT/(BT),100,3,"14,900"
2022-01-05,(냉)오징어,중국,300/400,CT/(BT),20,8,"50,400"
2022-01-05,(선)갑오징어,군산,10미,box,15,10,"29,200"
2022-01-05,(선)갑오징어,군산,2미,box,8,10,"16,300"
2022-01-05,(선)갑오징어,군산,5미,box,8,10,"28,900"
2022-01-05,(선)갑오징어,군산,대,box,18,10,"15,500"
2022-01-05,(선)갑오징어,목포,대,S/P,27,20,"138,800"
2022-01-05,(선)갑오징어,부산(기장),대,S/P,6,20,"100,000"
2022-01-05,(선)갑오징어,여수,중,S/P,20,5,"30,000"
2022-01-05,(선)갑오징어,여수,중,box,18,5,"26,500"
2022-01-05,(선)갑오징어,제주도,중,S/P,3,13,"30,000"
2022-01-05,(선)대포오징어,포항,특대,S/P,1,20,"70,000"
2022-01-05,(선)오징어,방어진,20미,S/P,100,10,"67,600"
2022-01-05,(선)오징어,부산(기장),20미,S/P,95,8,"69,300"
2022-01-05,(선)오징어,삼천포,20미,S/P,34,10,"67,000"
2022-01-05,(선)오징어,죽변,20미,S/P,39,8,"77,000"
2022-01-05,(선)오징어,죽변,20미,S/P,46,10,"73,800"
2022-01-05,(선)오징어,통영,20미,S/P,105,8,"69,800"
2022-01-06,(냉)오징어,안흥,20미,S/P,60,8,"16,200"
2022-01-06,(냉)오징어,안흥,30미,S/P,71,8,"11,000"
2022-01-06,(냉)오징어,죽변,20미,S/P,54,10,"53,000"
2022-01-06,(선)갑오징어,군산,10미,box,18,10,"24,100"
2022-01-06,(선)갑오징어,군산,2미,box,12,10,"23,300"
2022-01-06,(선)갑오징어,군산,3미,box,1,10,"24,000"
2022-01-06,(선)갑오징어,군산,5미,box,10,10,"15,300"
2022-01-06,(선)갑오징어,군산,대,box,20,10,"19,200"
2022-01-06,(선)갑오징어,목포,중,S/P,12,15,"160,000"
2022-01-06,(선)갑오징어,부산(기장),중,S/P,6,20,"50,000"
2022-01-06,(선)갑오징어,여수,중,box,18,5,"26,800"
2022-01-06,(선)대포오징어,포항,대,S/P,3,20,"85,000"
2022-01-06,(선)오징어,거제도,20미,S/P,32,8,"75,500"
2022-01-06,(선)오징어,동해시,20미,S/P,3,8,"20,000"
2022-01-06,(선)오징어,부산(기장),20미,S/P,91,8,"70,500"
2022-01-06,(선)오징어,통영,20미,S/P,118,8,"66,000"
2022-01-07,(선)갑오징어,군산,10미,box,13,10,"21,800"
2022-01-07,(선)갑오징어,군산,2미,box,10,10,"23,700"
2022-01-07,(선)갑오징어,군산,3미,box,11,10,"19,000"
2022-01-07,(선)갑오징어,군산,5미,box,7,10,"15,400"
2022-01-07,(선)갑오징어,군산,대,box,10,10,"21,600"
2022-01-07,(선)갑오징어,목포,중,S/P,6,20,"155,000"
2022-01-07,(선)갑오징어,부산(기장),중,S/P,6,20,"100,000"
2022-01-07,(선)갑오징어,여수,중,box,18,5,"25,000"
2022-01-07,(선)갑오징어,제주도,중,kg,101,1,"4,900"
2022-01-07,(선)대포오징어,포항,중,S/P,2,20,"175,000"
2022-01-07,(선)오징어,구룡포,20미,S/P,70,10,"72,000"
2022-01-07,(선)오징어,부산(기장),20미,S/P,23,10,"65,000"
2022-01-07,(선)오징어,죽변,22미,S/P,41,10,"68,000"
2022-01-07,(선)오징어,통영,20미,S/P,47,10,"66,000"
2022-01-08,(냉)오징어,기타(국내),중,S/P,10,8,"54,000"
2022-01-08,(냉)오징어,기타(국내),중,S/P,200,9,"65,000"
2022-01-08,(냉)오징어,안흥,20미,S/P,20,10,"23,000"
2022-01-08,(냉)오징어,중국,10미,CT/(BT),100,3,"14,900"
2022-01-08,(냉)오징어,중국,300/400,CT/(BT),50,8,"50,400"
2022-01-08,(선)갑오징어,군산,2미,box,6,10,"22,000"
2022-01-08,(선)갑오징어,군산,5미,box,7,10,"15,000"
2022-01-08,(선)갑오징어,군산,대,box,50,10,"16,600"
2022-01-08,(선)갑오징어,목포,대,S/P,42,20,"133,300"
2022-01-08,(선)갑오징어,부산(기장),중,S/P,59,1,"4,300"
2022-01-08,(선)갑오징어,부산(기장),중,S/P,2,15,"50,000"
2022-01-08,(선)갑오징어,여수,중,box,6,5,"28,700"
2022-01-08,(선)갑오징어,제주도,3미,kg,1,3,"7,000"
2022-01-08,(선)갑오징어,제주도,4미,kg,5,3,"35,000"
2022-01-08,(선)갑오징어,제주도,5미,kg,20,3,"30,000"
2022-01-08,(선)갑오징어,제주도,6미,kg,11,3,"22,000"
2022-01-08,(선)갑오징어,제주도,7미,kg,3,3,"20,000"
2022-01-08,(선)갑오징어,제주도,중,kg,6,1,"5,000"
2022-01-08,(선)대포오징어,죽변,1미,S/P,1,11,"145,000"
2022-01-08,(선)대포오징어,죽변,2미,S/P,1,18,"125,000"
2022-01-10,(선)갑오징어,군산,10미,box,4,10,"25,000"
2022-01-10,(선)갑오징어,군산,2미,box,10,10,"24,600"
2022-01-10,(선)갑오징어,군산,5미,box,5,10,"15,600"
2022-01-10,(선)갑오징어,군산,대,box,29,10,"20,400"
2022-01-10,(선)갑오징어,목포,대,c/s(상자),24,25,"130,500"
2022-01-10,(선)갑오징어,여수,10코,box,11,5,"25,200"
2022-01-10,(선)갑오징어,여수,중,box,7,5,"29,100"
2022-01-10,(선)대포오징어,포항,대,S/P,28,1,"17,000"
2022-01-10,(선)대포오징어,포항,대,S/P,1,25,"100,000"
2022-01-10,(선)오징어,목포,20미,S/P,10,8,"70,000"
2022-01-10,(선)오징어,방어진,20미,c/s(상자),60,10,"70,900"
2022-01-10,(선)오징어,부산(기장),20미,S/P,123,8,"75,700"
2022-01-10,(선)오징어,삼척,20미,S/P,16,8,"81,000"
2022-01-10,(선)오징어,죽변,20미,S/P,36,8,"48,900"
2022-01-10,(선)오징어,통영,20미,S/P,28,10,"81,000"
2022-01-10,(선)오징어,통영,25미,S/P,19,8,"77,900"
2022-01-11,(선)갑오징어,군산,2미,box,12,10,"21,300"
2022-01-11,(선)갑오징어,군산,대,box,21,10,"22,300"
2022-01-11,(선)갑오징어,목포,중,S/P,15,15,"131,700"
2022-01-11,(선)갑오징어,부산(기장),대,S/P,5,20,"100,000"
2022-01-11,(선)갑오징어,여수,중,box,8,5,"21,800"
2022-01-11,(선)갑오징어,죽변,대,S/P,4,15,"25,300"
