날짜,어종,산지,규격,포장,수량,중량,평균가
2022-01-03,(선)우럭,통영,중,kg,288,1,"15,900"
2022-01-03,(활)우럭,거진,중,kg,60,1,"20,600"
2022-01-03,(활)우럭,통영,중,kg,4,1,"25,000"
2022-01-03,(활)우럭조개,여수,8미,box,6,10,"58,100"
2022-01-03,(활)우럭조개,여수,9미,box,2,10,"49,500"
2022-01-04,(선)우럭,통영,중,kg,73,1,"16,900"
2022-01-04,(활)우럭,완도,중,kg,5,1,"18,500"
2022-01-05,(선)우럭,통영,중,kg,55,1,"15,700"
2022-01-05,(활)우럭,동해시,중,kg,100,1,"18,000"
2022-01-05,(활)우럭,통영,중,kg,24,1,"18,400"
2022-01-05,(활)우럭조개,여수,8미,box,1,10,"96,000"
2022-01-05,(활)우럭조개,여수,9미,box,1,10,"72,000"
2022-01-06,(선)우럭,속초,대,S/P,50,1,"12,500"
2022-01-06,(선)우럭,통영,중,kg,110,1,"19,000"
2022-01-06,(활)우럭,거진,중,kg,209,1,"10,400"
2022-01-06,(활)우럭,고성,중,kg,318,1,"8,600"
2022-01-06,(활)우럭,동해시,중,kg,127,1,"16,900"
2022-01-06,(활)우럭,통영,중,kg,26,1,"18,000"
2022-01-06,(활)우럭조개,여수,8미,box,4,10,"122,400"
2022-01-07,(선)우럭,통영,중,kg,91,1,"17,500"
2022-01-07,(활)우럭,동해시,중,kg,23,1,"5,000"
2022-01-07,(활)우럭,태안,중,kg,14,1,"4,000"
2022-01-07,(활)우럭,통영,중,kg,13,1,"21,600"
2022-01-07,(활)우럭조개,여수,12미,box,1,10,"30,000"
2022-01-07,(활)우럭조개,여수,8미,box,5,10,"97,000"
2022-01-07,(활)우럭조개,여수,9미,box,1,10,"61,200"
2022-01-08,(선)우럭,통영,중,kg,168,1,"18,100"
2022-01-08,(활)우럭,통영,중,kg,18,1,"19,200"
2022-01-10,(선)우럭,통영,중,kg,135,1,"18,100"
2022-01-10,(활)우럭,완도,중,kg,12,1,"23,000"
2022-01-10,(활)우럭조개,여수,10미,box,1,10,"75,000"
2022-01-10,(활)우럭조개,여수,12미,box,1,10,"66,000"
2022-01-10,(활)우럭조개,여수,15미,box,1,10,"37,500"
2022-01-10,(활)우럭조개,여수,8미,box,6,10,"88,800"
2022-01-11,(선)우럭,통영,중,kg,52,1,"15,800"
2022-01-11,(활)우럭,통영,중,kg,14,1,"21,700"
2022-01-11,(활)우럭조개,여수,10미,box,1,10,"75,000"
2022-01-11,(활)우럭조개,여수,12미,box,1,10,"30,000"
2022-01-11,(활)우럭조개,여수,8미,box,3,10,"112,000"
2022-01-12,(선)우럭,군산,중,kg,5,1,"10,000"
2022-01-12,(선)우럭,충무,중,kg,34,1,"17,200"
2022-01-12,(선)우럭,통영,중,kg,65,1,"15,400"
2022-01-12,(활)우럭,완도,중,kg,18,1,"15,100"
2022-01-12,(활)우럭,통영,중,kg,29,1,"20,800"
2022-01-12,(활)우럭조개,여수,10미,box,1,10,"65,000"
2022-01-12,(활)우럭조개,여수,8미,box,2,10,"105,600"
2022-01-13,(선)우럭,충무,중,kg,23,1,"19,100"
2022-01-13,(선)우럭,태안,중,kg,3,1,"7,000"
2022-01-13,(선)우럭,통영,중,kg,59,1,"15,300"
2022-01-13,(활)우럭,완도,중,kg,70,1,"21,200"
2022-01-13,(활)우럭,통영,중,kg,21,1,"20,800"
2022-01-13,(활)우럭조개,여수,10미,box,2,10,"80,000"
2022-01-13,(활)우럭조개,여수,6미,box,1,10,"60,000"
2022-01-13,(활)우럭조개,여수,8미,box,3,10,"80,000"
2022-01-13,(활)우럭조개,여수,중,box,1,10,"32,000"
2022-01-14,(선)우럭,통영,중,kg,130,1,"18,200"
2022-01-14,(활)우럭,완도,중,kg,92,1,"26,300"
2022-01-14,(활)우럭,통영,중,kg,55,1,"19,300"
2022-01-14,(활)우럭조개,여수,10미,box,1,10,"111,000"
2022-01-14,(활)우럭조개,여수,8미,box,1,10,"96,800"
2022-01-15,(선)우럭,통영,중,kg,171,1,"17,200"
2022-01-15,(활)우럭,완도,중,kg,28,1,"24,700"
2022-01-15,(활)우럭,진도,중,kg,5,1,"26,200"
2022-01-15,(활)우럭조개,여수,10미,box,3,10,"101,000"
2022-01-15,(활)우럭조개,여수,8미,box,2,10,"104,800"
2022-01-17,(선)우럭,안흥,중,kg,12,1,"6,000"
2022-01-17,(선)우럭,통영,중,kg,121,1,"18,200"
2022-01-17,(활)우럭,완도,중,kg,35,1,"25,100"
2022-01-17,(활)우럭,진도,중,kg,5,1,"24,000"
2022-01-17,(활)우럭조개,여수,10미,box,2,10,"76,000"
2022-01-17,(활)우럭조개,여수,17미,box,1,10,"51,000"
2022-01-17,(활)우럭조개,여수,8미,box,9,10,"88,600"
2022-01-17,(활)우럭조개,여수,9미,box,2,10,"72,000"
2022-01-18,(선)우럭,통영,중,kg,147,1,"17,100"
2022-01-18,(활)우럭,완도,중,kg,69,1,"23,900"
2022-01-18,(활)우럭조개,여수,10미,box,2,10,"66,000"
