날짜,어종,산지,규격,포장,수량,중량,평균가
2022-01-03,(냉)고등어,노르웨이,300/500,CT/(BT),3,20,"110,000"
2022-01-03,(선)고등어,삼천포,중,S/P,6,8,"60,000"
2022-01-04,(냉)염고등어,노르웨이,대,CT/(BT),30,7,"38,400"
2022-01-05,(냉)고등어,노르웨이,300/500,CT/(BT),30,20,"76,700"
2022-01-05,(선)고등어,부산(기장),20미,S/P,30,10,"31,000"
2022-01-06,(냉)고등어,노르웨이,300/500,CT/(BT),30,20,"77,200"
2022-01-06,(냉)고등어,노르웨이,400/600,CT/(BT),20,20,"76,500"
2022-01-06,(선)고등어,제주도,13미,S/P,2,10,"22,000"
2022-01-07,(냉)고등어,기타(국내),33미,CT/(BT),"2,730",10,"11,000"
2022-01-08,(냉)고등어,노르웨이,400/600,CT/(BT),10,20,"76,700"
2022-01-08,(선)고등어,남해,중,S/P,17,15,"5,000"
2022-01-11,(냉)염고등어,기타(국내),대,CT/(BT),30,13.5,"36,700"
2022-01-11,(냉)염고등어,기타(국내),중,CT/(BT),50,11.5,"25,900"
2022-01-12,(냉)염고등어,노르웨이,대,CT/(BT),70,7,"38,500"
2022-01-12,(냉)염고등어,노르웨이,특대,CT/(BT),50,7.5,"40,600"
2022-01-13,(냉)염고등어,노르웨이,8손,CT/(BT),30,7,"33,200"
2022-01-14,(냉)고등어,노르웨이,400/600,CT/(BT),20,20,"75,600"
2022-01-14,(냉)염고등어,노르웨이,중,CT/(BT),30,7,"28,500"
2022-01-14,(냉)염고등어,노르웨이,특대,CT/(BT),50,7.5,"40,600"
2022-01-15,(냉)염고등어,기타(국내),중,CT/(BT),30,10,"26,300"
2022-01-15,(냉)염고등어,노르웨이,특대,CT/(BT),50,7.5,"40,600"
2022-01-18,(냉)고등어,노르웨이,300/500,CT/(BT),10,20,"74,600"
2022-01-18,(냉)염고등어,노르웨이,8손,CT/(BT),30,7,"32,700"
2022-01-18,(냉)염고등어,노르웨이,대,CT/(BT),100,7,"38,400"
2022-01-18,(냉)염고등어,노르웨이,특대,CT/(BT),30,7.5,"40,600"
2022-01-18,(선)고등어,부산(기장),18미,S/P,27,15,"30,200"
2022-01-18,(선)고등어,부산(기장),22미,S/P,56,15,"27,600"
2022-01-19,(냉)고등어,부산(기장),중,CT/(BT),"7,930",10,"11,000"
2022-01-19,(선)고등어,부산(기장),24미,S/P,100,15,"26,000"
2022-01-20,(냉)고등어,노르웨이,400/600,CT/(BT),50,20,"75,600"
2022-01-21,(냉)고등어,기타(국내),26미,CT/(BT),10,10,"30,500"
2022-01-21,(냉)고등어,기타(국내),28미,CT/(BT),10,10,"26,500"
2022-01-21,(냉)고등어,노르웨이,400/600,CT/(BT),10,20,"78,000"
2022-01-21,(선)고등어,부산(기장),20미,S/P,28,15,"65,000"
2022-01-21,(선)점고등어,부산(기장),22미,S/P,60,15,"22,000"
2022-01-22,(냉)고등어,노르웨이,400/600,CT/(BT),10,20,"67,000"
2022-01-24,(선)고등어,부산(기장),20미,S/P,40,15,"55,000"
2022-01-24,(선)점고등어,부산(기장),22미,S/P,107,15,"19,400"
2022-01-25,(냉)염고등어,노르웨이,대,CT/(BT),50,7,"38,500"
2022-01-25,(선)점고등어,부산(기장),22미,S/P,79,15,"18,500"
2022-01-26,(냉)염고등어,노르웨이,8손,CT/(BT),50,7,"32,700"
2022-01-26,(냉)염고등어,노르웨이,대,CT/(BT),50,7,"38,500"
2022-01-26,(냉)염고등어,노르웨이,특대,CT/(BT),50,7.5,"40,600"
2022-01-26,(선)고등어,임원,10미,S/P,140,15,"49,100"
2022-01-27,(냉)고등어,노르웨이,300/500,CT/(BT),20,20,"75,600"
2022-01-27,(냉)고등어,노르웨이,400/600,CT/(BT),10,20,"77,700"
2022-01-28,(냉)고등어,노르웨이,300/500,CT/(BT),20,20,"74,600"
2022-01-28,(냉)고등어,노르웨이,400/600,CT/(BT),210,20,"76,000"
2022-01-28,(선)고등어,강구,10미,S/P,57,1,"13,200"
2022-01-28,(선)고등어,부산(기장),28미,S/P,50,15,"30,000"
2022-01-29,(냉)고등어,노르웨이,300/500,CT/(BT),10,20,"78,800"
2022-01-29,(냉)고등어,노르웨이,400/600,CT/(BT),20,20,"74,600"
2022-01-29,(냉)염고등어,노르웨이,대,CT/(BT),100,9,"38,900"
2022-01-29,(선)점고등어,삼천포,20미,S/P,31,15,"30,000"
2022-01-31,(선)고등어,삼천포,대,S/P,45,15,"50,700"
2022-02-05,(냉)고등어,노르웨이,400/600,CT/(BT),10,20,"71,400"
2022-02-07,(선)고등어,제주도,대,S/P,8,15,"96,000"
2022-02-07,(선)고등어,제주도,특대,S/P,9,15,"90,000"
2022-02-08,(냉)고등어,노르웨이,400/600,CT/(BT),20,20,"71,400"
2022-02-08,(냉)고등어,제주도,20미,CT/(BT),8,12,"50,000"
2022-02-08,(냉)염고등어,노르웨이,대,CT/(BT),50,7,"39,000"
2022-02-08,(선)고등어,남해,중,S/P,43,15,"6,600"
