날짜,어종,산지,규격,포장,수량,중량,평균가
2022-01-03,(선)왕게,러시아,중,kg,23,1,"25,400"
2022-01-03,(활)왕게,러시아,중,kg,498,1,"82,300"
2022-01-04,(선)왕게,러시아,중,kg,150,1,"29,200"
2022-01-04,(활)왕게,러시아,중,kg,"1,065",1,"62,300"
2022-01-05,(선)왕게,러시아,중,kg,59,1,"38,100"
2022-01-05,(활)왕게,러시아,중,kg,393,1,"73,800"
2022-01-06,(선)왕게,러시아,중,kg,90,1,"31,000"
2022-01-06,(활)왕게,러시아,중,kg,"1,044",1,"76,200"
2022-01-07,(선)왕게,러시아,중,kg,101,1,"34,100"
2022-01-07,(활)왕게,러시아,중,kg,"1,132",1,"81,700"
2022-01-08,(선)왕게,러시아,중,kg,136,1,"47,200"
2022-01-08,(활)왕게,러시아,중,kg,"3,180",1,"71,800"
2022-01-10,(활)왕게,러시아,중,kg,107,1,"81,600"
2022-01-11,(선)왕게,러시아,중,kg,39,1,"22,200"
2022-01-11,(활)왕게,노르웨이,중,kg,18,1,"42,000"
2022-01-11,(활)왕게,러시아,중,kg,469,1,"72,000"
2022-01-12,(선)왕게,노르웨이,중,kg,13,1,"33,400"
2022-01-12,(선)왕게,러시아,중,kg,98,1,"38,900"
2022-01-12,(선)왕게,캐나다,중,kg,4,1,"27,600"
2022-01-12,(활)왕게,노르웨이,중,kg,252,1,"55,300"
2022-01-12,(활)왕게,러시아,중,kg,4,1,"46,000"
2022-01-13,(선)왕게,노르웨이,중,kg,8,1,"33,000"
2022-01-13,(선)왕게,러시아,중,kg,89,1,"34,200"
2022-01-13,(활)왕게,노르웨이,중,kg,36,1,"83,900"
2022-01-13,(활)왕게,러시아,중,kg,224,1,"68,000"
2022-01-14,(선)왕게,노르웨이,중,kg,22,1,"37,500"
2022-01-14,(선)왕게,러시아,중,kg,91,1,"33,400"
2022-01-14,(활)왕게,노르웨이,중,kg,172,1,"79,200"
2022-01-14,(활)왕게,러시아,중,kg,"1,406",1,"80,000"
2022-01-15,(선)왕게,노르웨이,중,kg,37,1,"34,400"
2022-01-15,(선)왕게,러시아,중,kg,130,1,"32,900"
2022-01-15,(활)왕게,노르웨이,중,kg,105,1,"84,700"
2022-01-15,(활)왕게,러시아,중,kg,"1,639",1,"79,600"
2022-01-17,(선)왕게,러시아,중,kg,54,1,"26,200"
2022-01-17,(활)왕게,러시아,중,kg,89,1,"78,200"
2022-01-18,(선)왕게,노르웨이,중,kg,100,1,"35,700"
2022-01-18,(선)왕게,러시아,중,kg,169,1,"33,800"
2022-01-18,(활)왕게,러시아,중,kg,793,1,"77,100"
2022-01-19,(선)왕게,러시아,중,kg,167,1,"25,100"
2022-01-19,(활)왕게,노르웨이,중,kg,25,1,"67,600"
2022-01-19,(활)왕게,러시아,중,kg,503,1,"57,500"
2022-01-20,(선)왕게,노르웨이,중,kg,37,1,"45,600"
