날짜,어종,산지,규격,포장,수량,중량,평균가
2017-01-02,(선)우럭,군산,중,kg,5,1,"12,000"
2017-01-02,(선)우럭,부산(기장),중,S/P,13,10,"20,000"
2017-01-02,(선)우럭,통영,중,kg,675,1,"10,300"
2017-01-02,(활)우럭,충무,중,kg,30,1,"16,400"
2017-01-02,(활)우럭,통영,소,kg,25,1,"8,500"
2017-01-02,(활)우럭,통영,중,kg,355,1,"10,500"
2017-01-03,(선)우럭,남해,중,S/P,7,10,"27,000"
2017-01-03,(선)우럭,삼천포,대,S/P,6,10,"60,000"
2017-01-03,(선)우럭,삼천포,중,S/P,1,3.5,"20,000"
2017-01-03,(선)우럭,삼천포,중,S/P,15,10,"50,000"
2017-01-03,(선)우럭,진도,소,kg,96,1,"5,800"
2017-01-03,(선)우럭,진도,중,kg,73,1,"7,000"
2017-01-03,(선)우럭,통영,중,kg,294,1,"10,900"
2017-01-03,(활)우럭,진도,소,kg,9,1,"8,800"
2017-01-03,(활)우럭,진도,중,kg,189,1,"12,400"
2017-01-03,(활)우럭,추자도,중,kg,90,1,"6,700"
2017-01-03,(활)우럭,충무,중,kg,18,1,"16,500"
2017-01-03,(활)우럭,통영,중,kg,121,1,"11,300"
2017-01-03,(활)우럭조개,여수,32미,box,1,10,"51,200"
2017-01-04,(선)우럭,삼천포,중,S/P,79,10,"47,200"
2017-01-04,(선)우럭,삼천포,진통,S/P,20,10,"65,000"
2017-01-04,(선)우럭,진도,중,kg,16,1,"10,700"
2017-01-04,(선)우럭,통영,중,S/P,18,1,"7,300"
2017-01-04,(선)우럭,통영,중,S/P,58,10,"36,600"
2017-01-04,(선)우럭,통영,중,kg,90,1,"10,800"
2017-01-04,(선)우럭,포항,중,S/P,18,10,"20,000"
2017-01-04,(활)우럭,완도,중,kg,13,1,"20,100"
2017-01-04,(활)우럭,진도,중,kg,110,1,"10,300"
2017-01-04,(활)우럭,통영,소,kg,41,1,"10,900"
2017-01-05,(선)우럭,군산,중,kg,1,1,"8,000"
2017-01-05,(선)우럭,삼천포,12미,S/P,2,10,"55,000"
2017-01-05,(선)우럭,삼천포,13미,S/P,2,10,"55,000"
2017-01-05,(선)우럭,삼천포,14미,S/P,12,10,"55,000"
2017-01-05,(선)우럭,삼천포,7미,S/P,1,4.5,"55,000"
2017-01-05,(선)우럭,삼천포,중,S/P,1,4.5,"20,000"
2017-01-05,(선)우럭,삼천포,중,S/P,40,10,"60,000"
2017-01-05,(선)우럭,진도,중,kg,126,1,"7,000"
