날짜,어종,산지,규격,포장,수량,중량,평균가
2022-01-03,(냉)갈치,베네수엘라,500/700,CT/(BT),5,8,"70,000"
2022-01-03,(선)은갈치,제주도,10미,S/P,26,3,"45,000"
2022-01-03,(선)은갈치,제주도,10미,S/P,24,3.5,"75,000"
2022-01-03,(선)은갈치,제주도,10미,S/P,24,4,"95,000"
2022-01-03,(선)은갈치,제주도,10미,S/P,16,4.5,"120,000"
2022-01-03,(선)은갈치,제주도,10미,S/P,24,5,"136,700"
2022-01-03,(선)은갈치,제주도,20미,S/P,6,5.2,"45,000"
2022-01-03,(선)은갈치,제주도,25미,S/P,37,6,"43,900"
2022-01-03,(선)은갈치,제주도,5미,S/P,21,5,"153,300"
2022-01-03,(선)은갈치,제주도,5미,S/P,1,7,"170,000"
2022-01-04,(냉)갈치,세네갈,500/700,CT/(BT),100,8,"67,700"
2022-01-04,(선)갈치,제주도,10미,S/P,15,3,"42,000"
2022-01-04,(선)갈치,제주도,10미,S/P,11,3.5,"61,000"
2022-01-04,(선)갈치,제주도,10미,S/P,2,4,"77,000"
2022-01-04,(선)갈치,제주도,10미,S/P,15,4.5,"93,500"
2022-01-04,(선)갈치,제주도,10미,S/P,19,5,"118,400"
2022-01-04,(선)갈치,제주도,20미,S/P,1,5.2,"40,000"
2022-01-04,(선)갈치,제주도,25미,S/P,15,6,"32,000"
2022-01-04,(선)갈치,제주도,4미,S/P,1,5,"150,000"
2022-01-04,(선)갈치,제주도,5미,S/P,3,5,"155,000"
2022-01-04,(선)갈치,제주도,6미,S/P,7,5,"135,000"
2022-01-04,(선)갈치,제주도,7미,S/P,6,5,"136,000"
2022-01-04,(선)갈치,제주도,8미,S/P,10,5,"130,000"
2022-01-04,(선)은갈치,제주도,10미,S/P,56,3.5,"64,100"
2022-01-04,(선)은갈치,제주도,10미,S/P,28,4,"82,700"
2022-01-04,(선)은갈치,제주도,10미,S/P,50,4.5,"95,700"
2022-01-04,(선)은갈치,제주도,10미,S/P,56,5,"111,900"
2022-01-04,(선)은갈치,제주도,10미,S/P,1,5.5,"130,000"
2022-01-04,(선)은갈치,제주도,14미,S/P,1,4.5,"65,000"
2022-01-04,(선)은갈치,제주도,25미,S/P,35,6,"40,000"
2022-01-05,(선)은갈치,제주도,10미,S/P,2,3,"42,000"
2022-01-05,(선)은갈치,제주도,10미,S/P,72,3.5,"57,000"
2022-01-05,(선)은갈치,제주도,10미,S/P,29,4,"80,100"
2022-01-05,(선)은갈치,제주도,10미,S/P,38,4.5,"96,400"
